Nr;Date;ProgNr;ProgName;State;PartInfo;
8300;27.03.20 12:34:28;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200327062640P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,30;-0,01;0,00;0,00;
0,00;0,00;34,35;0,04;0,00;0,00;
0,00;0,00;34,88;0,04;0,00;0,00;
0,00;0,00;35,93;0,04;0,00;0,00;
0,00;0,00;37,48;0,04;0,00;0,00;
0,00;0,00;39,54;0,04;0,00;0,00;
0,00;0,00;42,11;0,05;0,00;0,00;
0,00;0,00;45,20;0,04;0,00;0,00;
0,00;0,00;48,68;0,02;0,00;0,00;
0,00;0,00;52,19;0,03;0,00;0,00;
0,00;0,00;59,23;0,02;0,00;0,00;
0,00;0,00;62,75;0,02;0,00;0,00;
0,00;0,00;66,27;0,02;0,00;0,00;
0,00;0,00;69,79;0,01;0,00;0,00;
0,00;0,00;73,31;0,02;0,00;0,00;
0,00;0,00;80,35;0,01;0,00;0,00;
0,00;0,00;83,87;0,04;0,00;0,00;
0,00;0,00;87,39;0,03;0,00;0,00;
0,00;0,00;90,62;0,01;0,00;0,00;
0,00;0,00;95,66;-0,01;0,00;0,00;
0,00;0,00;98,72;-0,02;0,00;0,00;
0,00;0,00;99,50;-0,03;0,00;0,00;
0,00;0,00;99,79;-0,02;0,00;0,00;
0,00;0,00;99,89;-0,01;0,00;0,00;
0,00;0,00;100,03;0,01;0,00;0,00;
0,00;0,00;100,18;0,01;0,00;0,00;
0,00;0,00;100,32;0,01;0,00;0,00;
0,00;0,00;100,47;0,01;0,00;0,00;
0,00;0,00;100,61;0,01;0,00;0,00;
0,00;0,00;100,75;0,01;0,00;0,00;
0,00;0,00;100,90;0,01;0,00;0,00;
0,00;0,00;101,04;0,01;0,00;0,00;
0,00;0,00;101,19;0,01;0,00;0,00;
0,00;0,00;101,33;0,01;0,00;0,00;
0,00;0,00;101,62;0,01;0,00;0,00;
0,00;0,00;101,76;0,01;0,00;0,00;
0,00;0,00;101,54;-0,04;0,00;0,00;
0,00;0,00;100,76;-0,05;0,00;0,00;
0,00;0,00;99,49;-0,01;0,00;0,00;
0,00;0,00;98,50;-0,01;0,00;0,00;
0,00;0,00;97,92;0,01;0,00;0,00;
0,00;0,00;97,79;-0,01;0,00;0,00;
0,00;0,00;97,79;-0,01;0,00;0,00;
