Nr;Date;ProgNr;ProgName;State;PartInfo;
49533;04.05.21 09:53:33;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210503121305P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,16;0,00;0,00;
0,00;0,00;0,62;0,11;0,00;0,00;
0,00;0,00;1,65;0,09;0,00;0,00;
0,00;0,00;3,17;0,09;0,00;0,00;
0,00;0,00;5,22;0,09;0,00;0,00;
0,00;0,00;7,78;0,11;0,00;0,00;
0,00;0,00;10,84;-0,02;0,00;0,00;
0,00;0,00;13,95;0,02;0,00;0,00;
0,00;0,00;17,13;0,09;0,00;0,00;
0,00;0,00;20,34;0,05;0,00;0,00;
0,00;0,00;23,54;0,06;0,00;0,00;
0,00;0,00;26,74;0,02;0,00;0,00;
0,00;0,00;33,15;0,05;0,00;0,00;
0,00;0,00;36,34;0,07;0,00;0,00;
0,00;0,00;39,54;0,05;0,00;0,00;
0,00;0,00;42,74;0,05;0,00;0,00;
0,00;0,00;45,95;0,05;0,00;0,00;
0,00;0,00;49,14;0,06;0,00;0,00;
0,00;0,00;52,34;0,02;0,00;0,00;
0,00;0,00;55,54;0,05;0,00;0,00;
0,00;0,00;58,74;0,07;0,00;0,00;
0,00;0,00;61,95;0,02;0,00;0,00;
0,00;0,00;65,15;0,05;0,00;0,00;
0,00;0,00;68,35;0,05;0,00;0,00;
0,00;0,00;71,54;0,05;0,00;0,00;
0,00;0,00;74,75;0,07;0,00;0,00;
0,00;0,00;77,95;0,02;0,00;0,00;
0,00;0,00;81,14;0,02;0,00;0,00;
0,00;0,00;84,34;0,02;0,00;0,00;
0,00;0,00;87,54;0,02;0,00;0,00;
0,00;0,00;90,74;0,06;0,00;0,00;
0,00;0,00;93,95;0,02;0,00;0,00;
0,00;0,00;97,15;0,07;0,00;0,00;
0,00;0,00;100,35;0,02;0,00;0,00;
0,00;0,00;103,54;0,07;0,00;0,00;
0,00;0,00;106,75;0,06;0,00;0,00;
