13626;09.03.21 15:44:57;21;Avvicinamento Pressata Finale;Alcun errore (0);20210309144440A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;28,82;0,04;0,00;0,00;
0,00;0,00;33,62;0,09;0,00;0,00;
0,00;0,00;52,82;-0,04;0,00;0,00;
0,00;0,00;62,42;0,04;0,00;0,00;
0,00;0,00;72,02;0,04;0,00;0,00;
0,00;0,00;76,82;-0,04;0,00;0,00;
0,00;0,00;86,42;-0,04;0,00;0,00;
0,00;0,00;100,82;-0,04;0,00;0,00;
0,00;0,00;115,22;-0,04;0,00;0,00;
0,00;0,00;124,82;-0,04;0,00;0,00;
0,00;0,00;129,62;-0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;148,82;-0,04;0,00;0,00;
0,00;0,00;153,62;0,04;0,00;0,00;
0,00;0,00;158,42;-0,04;0,00;0,00;
0,00;0,00;163,22;-0,04;0,00;0,00;
0,00;0,00;168,02;0,04;0,00;0,00;
0,00;0,00;172,82;0,04;0,00;0,00;
0,00;0,00;192,02;0,09;0,00;0,00;
0,00;0,00;206,42;-0,04;0,00;0,00;
0,00;0,00;230,42;0,04;0,00;0,00;
0,00;0,00;235,22;0,04;0,00;0,00;
0,00;0,00;244,82;-0,04;0,00;0,00;
0,00;0,00;249,62;-0,04;0,00;0,00;
0,00;0,00;254,17;-0,09;0,00;0,00;
0,00;0,00;257,00;-0,04;0,00;0,00;
0,00;0,00;257,84;0,04;0,00;0,00;
0,00;0,00;258,08;0,04;0,00;0,00;
0,00;0,00;260,89;0,04;0,00;0,00;
0,00;0,00;263,20;0,09;0,00;0,00;
0,00;0,00;264,48;0,04;0,00;0,00;
0,00;0,00;265,25;0,04;0,00;0,00;
0,00;0,00;265,76;0,04;0,00;0,00;
0,00;0,00;267,04;0,09;0,00;0,00;
0,00;0,00;267,29;0,04;0,00;0,00;
0,00;0,00;267,55;0,04;0,00;0,00;
0,00;0,00;267,81;0,04;0,00;0,00;
0,00;0,00;268,83;0,04;0,00;0,00;
0,00;0,00;269,09;0,04;0,00;0,00;
0,00;0,00;269,60;0,04;0,00;0,00;
0,00;0,00;271,13;0,04;0,00;0,00;
0,00;0,00;271,65;0,04;0,00;0,00;
0,00;0,00;272,16;0,04;0,00;0,00;
0,00;0,00;272,41;0,09;0,00;0,00;
0,00;0,00;273,69;0,04;0,00;0,00;
0,00;0,00;273,95;0,04;0,00;0,00;
0,00;0,00;274,21;0,04;0,00;0,00;
0,00;0,00;274,72;0,04;0,00;0,00;
0,00;0,00;275,49;0,18;0,00;0,00;
0,00;0,00;275,74;0,18;0,00;0,00;
0,00;0,00;276,00;0,31;0,00;0,00;
0,00;0,00;276,25;0,36;0,00;0,00;
0,00;0,00;276,51;0,36;0,00;0,00;
0,00;0,00;276,77;0,36;0,00;0,00;
0,00;0,00;277,02;0,27;0,00;0,00;
0,00;0,00;277,28;0,27;0,00;0,00;
0,00;0,00;277,53;0,18;0,00;0,00;
0,00;0,00;277,79;0,18;0,00;0,00;
0,00;0,00;278,05;0,18;0,00;0,00;
0,00;0,00;278,30;0,27;0,00;0,00;
0,00;0,00;278,55;2,00;0,00;0,00;
0,00;0,00;278,81;2,22;0,00;0,00;
0,00;0,00;278,90;2,05;0,00;0,00;
0,00;0,00;278,60;-0,18;0,00;0,00;
0,00;0,00;276,50;-0,09;0,00;0,00;
0,00;0,00;267,69;-0,09;0,00;0,00;
0,00;0,00;262,88;-0,09;0,00;0,00;
0,00;0,00;258,08;-0,04;0,00;0,00;
0,00;0,00;253,28;-0,09;0,00;0,00;
0,00;0,00;248,48;-0,04;0,00;0,00;
0,00;0,00;243,68;-0,09;0,00;0,00;
0,00;0,00;238,88;-0,13;0,00;0,00;
0,00;0,00;234,08;-0,09;0,00;0,00;
0,00;0,00;229,28;-0,04;0,00;0,00;
0,00;0,00;224,48;-0,04;0,00;0,00;
0,00;0,00;219,68;-0,09;0,00;0,00;
0,00;0,00;214,88;-0,09;0,00;0,00;
0,00;0,00;210,08;-0,04;0,00;0,00;
0,00;0,00;205,28;-0,04;0,00;0,00;
0,00;0,00;200,48;-0,04;0,00;0,00;
0,00;0,00;195,68;-0,04;0,00;0,00;
0,00;0,00;190,88;-0,04;0,00;0,00;
0,00;0,00;186,08;-0,04;0,00;0,00;
0,00;0,00;181,28;-0,04;0,00;0,00;
0,00;0,00;166,88;-0,04;0,00;0,00;
0,00;0,00;162,08;-0,09;0,00;0,00;
0,00;0,00;157,28;-0,04;0,00;0,00;
0,00;0,00;142,88;-0,04;0,00;0,00;
0,00;0,00;138,08;-0,04;0,00;0,00;
0,00;0,00;133,28;0,04;0,00;0,00;
0,00;0,00;128,48;-0,04;0,00;0,00;
0,00;0,00;118,88;-0,09;0,00;0,00;
0,00;0,00;109,28;-0,04;0,00;0,00;
0,00;0,00;99,68;-0,04;0,00;0,00;
0,00;0,00;85,28;-0,04;0,00;0,00;
0,00;0,00;80,48;-0,04;0,00;0,00;
0,00;0,00;70,88;-0,04;0,00;0,00;
0,00;0,00;66,40;-0,04;0,00;0,00;
0,00;0,00;63,69;0,09;0,00;0,00;
