Nr;Date;ProgNr;ProgName;State;PartInfo;
19885;25.01.21 16:06:57;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210122153449A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,41;0,22;0,00;0,00;
0,00;0,00;20,86;0,14;0,00;0,00;
0,00;0,00;21,63;0,37;0,00;0,00;
0,00;0,00;22,78;0,30;0,00;0,00;
0,00;0,00;24,33;0,37;0,00;0,00;
0,00;0,00;26,25;0,30;0,00;0,00;
0,00;0,00;28,55;0,30;0,00;0,00;
0,00;0,00;30,89;0,37;0,00;0,00;
0,00;0,00;33,28;0,30;0,00;0,00;
0,00;0,00;35,69;0,22;0,00;0,00;
0,00;0,00;38,10;0,22;0,00;0,00;
0,00;0,00;40,49;0,22;0,00;0,00;
0,00;0,00;42,90;0,22;0,00;0,00;
0,00;0,00;45,30;0,37;0,00;0,00;
0,00;0,00;47,69;0,37;0,00;0,00;
0,00;0,00;50,10;0,30;0,00;0,00;
0,00;0,00;52,50;0,30;0,00;0,00;
0,00;0,00;54,90;0,30;0,00;0,00;
0,00;0,00;57,30;0,37;0,00;0,00;
0,00;0,00;59,69;0,30;0,00;0,00;
0,00;0,00;62,10;0,30;0,00;0,00;
0,00;0,00;64,50;0,22;0,00;0,00;
0,00;0,00;66,90;0,22;0,00;0,00;
0,00;0,00;69,30;0,22;0,00;0,00;
0,00;0,00;71,70;0,30;0,00;0,00;
0,00;0,00;74,10;0,22;0,00;0,00;
0,00;0,00;76,50;0,22;0,00;0,00;
0,00;0,00;78,90;0,22;0,00;0,00;
0,00;0,00;81,30;0,30;0,00;0,00;
0,00;0,00;83,69;0,30;0,00;0,00;
0,00;0,00;86,10;0,30;0,00;0,00;
0,00;0,00;88,50;0,22;0,00;0,00;
0,00;0,00;90,90;0,22;0,00;0,00;
0,00;0,00;93,30;0,30;0,00;0,00;
0,00;0,00;95,69;0,22;0,00;0,00;
0,00;0,00;98,10;0,30;0,00;0,00;
0,00;0,00;100,50;0,22;0,00;0,00;
0,00;0,00;102,90;0,22;0,00;0,00;
0,00;0,00;105,30;0,37;0,00;0,00;
0,00;0,00;107,69;0,14;0,00;0,00;
0,00;0,00;110,10;0,22;0,00;0,00;
0,00;0,00;112,50;0,22;0,00;0,00;
0,00;0,00;114,90;0,22;0,00;0,00;
0,00;0,00;117,30;0,30;0,00;0,00;
0,00;0,00;119,69;0,22;0,00;0,00;
