1580;25.03.20 16:12:57;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200325154722A0215;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,18;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,52;0,16;0,00;0,00;
0,00;0,00;43,05;0,25;0,00;0,00;
0,00;0,00;45,09;0,11;0,00;0,00;
0,00;0,00;47,66;0,16;0,00;0,00;
0,00;0,00;50,70;0,18;0,00;0,00;
0,00;0,00;53,85;0,11;0,00;0,00;
0,00;0,00;57,01;0,18;0,00;0,00;
0,00;0,00;60,25;0,16;0,00;0,00;
0,00;0,00;63,44;0,09;0,00;0,00;
0,00;0,00;66,65;0,16;0,00;0,00;
0,00;0,00;69,84;0,11;0,00;0,00;
0,00;0,00;73,05;0,13;0,00;0,00;
0,00;0,00;76,25;0,11;0,00;0,00;
0,00;0,00;79,45;0,09;0,00;0,00;
0,00;0,00;82,65;0,16;0,00;0,00;
0,00;0,00;85,85;0,06;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,09;0,00;0,00;
0,00;0,00;98,65;0,16;0,00;0,00;
0,00;0,00;101,85;0,07;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,13;0,00;0,00;
0,00;0,00;111,45;0,07;0,00;0,00;
0,00;0,00;114,65;0,11;0,00;0,00;
0,00;0,00;117,85;0,09;0,00;0,00;
0,00;0,00;121,05;0,16;0,00;0,00;
0,00;0,00;124,25;0,13;0,00;0,00;
0,00;0,00;127,45;0,11;0,00;0,00;
0,00;0,00;130,65;0,11;0,00;0,00;
0,00;0,00;133,85;0,09;0,00;0,00;
0,00;0,00;137,05;0,16;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,11;0,00;0,00;
0,00;0,00;146,65;0,13;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,16;0,00;0,00;
0,00;0,00;156,25;0,16;0,00;0,00;
0,00;0,00;159,42;0,11;0,00;0,00;
0,00;0,00;162,10;0,09;0,00;0,00;
0,00;0,00;164,35;0,07;0,00;0,00;
0,00;0,00;166,11;0,02;0,00;0,00;
0,00;0,00;167,36;-0,02;0,00;0,00;
0,00;0,00;168,10;-0,05;0,00;0,00;
0,00;0,00;168,34;0,02;0,00;0,00;
0,00;0,00;168,42;0,02;0,00;0,00;
0,00;0,00;168,55;0,05;0,00;0,00;
0,00;0,00;168,69;0,07;0,00;0,00;
0,00;0,00;168,85;0,07;0,00;0,00;
0,00;0,00;169,01;0,07;0,00;0,00;
0,00;0,00;169,17;0,05;0,00;0,00;
0,00;0,00;169,33;0,02;0,00;0,00;
0,00;0,00;169,49;0,07;0,00;0,00;
0,00;0,00;169,65;0,07;0,00;0,00;
0,00;0,00;169,81;0,07;0,00;0,00;
0,00;0,00;169,97;0,07;0,00;0,00;
0,00;0,00;170,13;0,07;0,00;0,00;
0,00;0,00;170,29;0,05;0,00;0,00;
0,00;0,00;170,45;0,07;0,00;0,00;
0,00;0,00;170,61;0,07;0,00;0,00;
0,00;0,00;170,77;0,07;0,00;0,00;
0,00;0,00;170,91;0,11;0,00;0,00;
0,00;0,00;170,91;0,16;0,00;0,00;
0,00;0,00;170,85;-0,14;0,00;0,00;
0,00;0,00;170,30;-0,14;0,00;0,00;
0,00;0,00;169,43;0,07;0,00;0,00;
0,00;0,00;169,07;-0,05;0,00;0,00;
0,00;0,00;168,96;-0,11;0,00;0,00;
0,00;0,00;168,90;-0,02;0,00;0,00;
0,00;0,00;168,90;0,02;0,00;0,00;
0,00;0,00;168,95;0,13;0,00;0,00;
0,00;0,00;169,09;0,07;0,00;0,00;
0,00;0,00;169,41;0,05;0,00;0,00;
0,00;0,00;169,58;0,11;0,00;0,00;
0,00;0,00;169,74;0,07;0,00;0,00;
0,00;0,00;169,90;0,05;0,00;0,00;
0,00;0,00;170,06;0,05;0,00;0,00;
0,00;0,00;170,23;0,02;0,00;0,00;
0,00;0,00;170,39;0,07;0,00;0,00;
0,00;0,00;170,55;0,07;0,00;0,00;
0,00;0,00;170,71;0,07;0,00;0,00;
0,00;0,00;170,87;0,07;0,00;0,00;
0,00;0,00;171,03;0,25;0,00;0,00;
0,00;0,00;171,19;0,25;0,00;0,00;
0,00;0,00;171,35;0,29;0,00;0,00;
0,00;0,00;171,51;0,45;0,00;0,00;
