Nr;Date;ProgNr;ProgName;State;PartInfo;
20835;29.01.21 08:45:51;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210129081410P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,70;-0,08;0,00;0,00;
0,00;0,00;73,76;0,06;0,00;0,00;
0,00;0,00;74,21;0,14;0,00;0,00;
0,00;0,00;74,98;0,06;0,00;0,00;
0,00;0,00;76,13;0,14;0,00;0,00;
0,00;0,00;77,67;0,06;0,00;0,00;
0,00;0,00;79,60;0,14;0,00;0,00;
0,00;0,00;81,90;0,22;0,00;0,00;
0,00;0,00;84,24;0,14;0,00;0,00;
0,00;0,00;86,63;0,06;0,00;0,00;
0,00;0,00;89,04;0,06;0,00;0,00;
0,00;0,00;91,44;0,14;0,00;0,00;
0,00;0,00;93,84;0,14;0,00;0,00;
0,00;0,00;96,25;0,14;0,00;0,00;
0,00;0,00;98,64;0,14;0,00;0,00;
0,00;0,00;101,05;0,06;0,00;0,00;
0,00;0,00;103,45;0,14;0,00;0,00;
0,00;0,00;105,85;0,06;0,00;0,00;
0,00;0,00;108,25;0,06;0,00;0,00;
0,00;0,00;110,65;0,06;0,00;0,00;
0,00;0,00;113,05;0,06;0,00;0,00;
0,00;0,00;115,45;0,14;0,00;0,00;
0,00;0,00;117,85;0,14;0,00;0,00;
0,00;0,00;120,25;0,14;0,00;0,00;
0,00;0,00;122,64;0,06;0,00;0,00;
0,00;0,00;125,05;0,14;0,00;0,00;
0,00;0,00;127,45;0,14;0,00;0,00;
0,00;0,00;129,85;0,06;0,00;0,00;
0,00;0,00;132,25;0,06;0,00;0,00;
0,00;0,00;134,64;0,06;0,00;0,00;
0,00;0,00;137,05;0,06;0,00;0,00;
0,00;0,00;139,45;0,06;0,00;0,00;
0,00;0,00;141,85;0,14;0,00;0,00;
0,00;0,00;144,25;0,14;0,00;0,00;
0,00;0,00;146,65;0,06;0,00;0,00;
0,00;0,00;149,05;0,06;0,00;0,00;
0,00;0,00;151,38;-0,09;0,00;0,00;
