Nr;Date;ProgNr;ProgName;State;PartInfo;
35957;20.04.21 14:34:21;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210420135748P0031;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,44;0,08;0,00;0,00;
0,00;0,00;75,05;0,08;0,00;0,00;
0,00;0,00;76,01;0,16;0,00;0,00;
0,00;0,00;77,35;0,16;0,00;0,00;
0,00;0,00;79,09;0,23;0,00;0,00;
0,00;0,00;81,21;0,22;0,00;0,00;
0,00;0,00;85,93;0,08;0,00;0,00;
0,00;0,00;88,34;0,08;0,00;0,00;
0,00;0,00;90,74;0,08;0,00;0,00;
0,00;0,00;100,35;0,08;0,00;0,00;
0,00;0,00;107,54;0,08;0,00;0,00;
0,00;0,00;109,95;0,08;0,00;0,00;
0,00;0,00;112,35;0,08;0,00;0,00;
0,00;0,00;121,95;0,08;0,00;0,00;
0,00;0,00;124,35;0,08;0,00;0,00;
0,00;0,00;126,75;0,08;0,00;0,00;
0,00;0,00;133,95;0,08;0,00;0,00;
0,00;0,00;136,35;0,08;0,00;0,00;
0,00;0,00;143,55;0,16;0,00;0,00;
0,00;0,00;148,35;0,08;0,00;0,00;
0,00;0,00;157,95;0,16;0,00;0,00;
0,00;0,00;160,35;0,08;0,00;0,00;
0,00;0,00;162,75;0,16;0,00;0,00;
0,00;0,00;165,15;0,08;0,00;0,00;
0,00;0,00;167,54;0,16;0,00;0,00;
0,00;0,00;169,95;0,08;0,00;0,00;
0,00;0,00;172,35;0,16;0,00;0,00;
0,00;0,00;174,74;0,16;0,00;0,00;
0,00;0,00;177,15;0,08;0,00;0,00;
0,00;0,00;179,54;0,08;0,00;0,00;
0,00;0,00;181,95;0,08;0,00;0,00;
0,00;0,00;184,35;0,08;0,00;0,00;
0,00;0,00;186,43;0,16;0,00;0,00;
0,00;0,00;188,19;0,08;0,00;0,00;
0,00;0,00;191,56;0,08;0,00;0,00;
0,00;0,00;194,91;0,08;0,00;0,00;
0,00;0,00;196,19;0,08;0,00;0,00;
0,00;0,00;198,75;0,08;0,00;0,00;
0,00;0,00;200,03;0,08;0,00;0,00;
0,00;0,00;200,35;0,08;0,00;0,00;
0,00;0,00;201,15;0,08;0,00;0,00;
0,00;0,00;201,47;0,08;0,00;0,00;
0,00;0,00;201,50;0,08;0,00;0,00;
0,00;0,00;201,50;0,08;0,00;0,00;
