Nr;Date;ProgNr;ProgName;State;PartInfo;
52682;18.05.21 15:46:04;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210518135122P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,90;0,05;0,00;0,00;
0,00;0,00;1,96;0,18;0,00;0,00;
0,00;0,00;2,52;0,09;0,00;0,00;
0,00;0,00;3,54;0,14;0,00;0,00;
0,00;0,00;5,07;0,16;0,00;0,00;
0,00;0,00;7,12;0,12;0,00;0,00;
0,00;0,00;9,68;0,16;0,00;0,00;
0,00;0,00;12,74;0,14;0,00;0,00;
0,00;0,00;15,85;0,12;0,00;0,00;
0,00;0,00;19,04;0,12;0,00;0,00;
0,00;0,00;22,25;0,07;0,00;0,00;
0,00;0,00;25,45;0,07;0,00;0,00;
0,00;0,00;28,65;0,09;0,00;0,00;
0,00;0,00;31,85;0,07;0,00;0,00;
0,00;0,00;35,05;0,09;0,00;0,00;
0,00;0,00;38,25;0,09;0,00;0,00;
0,00;0,00;41,45;0,12;0,00;0,00;
0,00;0,00;44,65;0,12;0,00;0,00;
0,00;0,00;47,85;0,07;0,00;0,00;
0,00;0,00;51,05;0,09;0,00;0,00;
0,00;0,00;54,25;0,09;0,00;0,00;
0,00;0,00;57,45;0,07;0,00;0,00;
0,00;0,00;60,65;0,09;0,00;0,00;
0,00;0,00;63,85;0,09;0,00;0,00;
0,00;0,00;67,05;0,12;0,00;0,00;
0,00;0,00;70,25;0,09;0,00;0,00;
0,00;0,00;73,45;0,07;0,00;0,00;
0,00;0,00;76,65;0,12;0,00;0,00;
0,00;0,00;79,85;0,07;0,00;0,00;
0,00;0,00;83,05;0,07;0,00;0,00;
0,00;0,00;86,25;0,12;0,00;0,00;
0,00;0,00;89,45;0,07;0,00;0,00;
0,00;0,00;92,65;0,07;0,00;0,00;
0,00;0,00;95,85;0,05;0,00;0,00;
0,00;0,00;99,05;0,09;0,00;0,00;
0,00;0,00;102,25;0,07;0,00;0,00;
0,00;0,00;105,45;0,09;0,00;0,00;
0,00;0,00;108,65;0,05;0,00;0,00;
0,00;0,00;111,85;0,07;0,00;0,00;
0,00;0,00;115,05;0,07;0,00;0,00;
0,00;0,00;118,25;0,07;0,00;0,00;
