22579;08.01.21 14:14:15;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210105161052P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;41,96;0,18;0,00;0,00;
0,00;0,00;42,51;0,13;0,00;0,00;
0,00;0,00;43,53;0,18;0,00;0,00;
0,00;0,00;45,06;0,18;0,00;0,00;
0,00;0,00;47,10;0,13;0,00;0,00;
0,00;0,00;49,66;0,18;0,00;0,00;
0,00;0,00;52,71;0,23;0,00;0,00;
0,00;0,00;55,85;0,13;0,00;0,00;
0,00;0,00;59,02;0,13;0,00;0,00;
0,00;0,00;62,25;0,11;0,00;0,00;
0,00;0,00;65,44;0,09;0,00;0,00;
0,00;0,00;68,65;0,11;0,00;0,00;
0,00;0,00;71,85;0,13;0,00;0,00;
0,00;0,00;75,05;0,11;0,00;0,00;
0,00;0,00;78,25;0,13;0,00;0,00;
0,00;0,00;81,45;0,11;0,00;0,00;
0,00;0,00;84,65;0,13;0,00;0,00;
0,00;0,00;87,85;0,09;0,00;0,00;
0,00;0,00;91,05;0,13;0,00;0,00;
0,00;0,00;94,25;0,13;0,00;0,00;
0,00;0,00;97,45;0,09;0,00;0,00;
0,00;0,00;100,65;0,16;0,00;0,00;
0,00;0,00;103,85;0,09;0,00;0,00;
0,00;0,00;107,05;0,11;0,00;0,00;
0,00;0,00;110,25;0,11;0,00;0,00;
0,00;0,00;113,45;0,09;0,00;0,00;
0,00;0,00;116,65;0,13;0,00;0,00;
0,00;0,00;119,85;0,09;0,00;0,00;
0,00;0,00;123,05;0,13;0,00;0,00;
0,00;0,00;126,25;0,13;0,00;0,00;
0,00;0,00;129,45;0,11;0,00;0,00;
0,00;0,00;132,65;0,20;0,00;0,00;
0,00;0,00;135,85;0,09;0,00;0,00;
0,00;0,00;139,05;0,16;0,00;0,00;
0,00;0,00;142,18;-0,05;0,00;0,00;
0,00;0,00;144,80;0,09;0,00;0,00;
0,00;0,00;146,98;0,05;0,00;0,00;
0,00;0,00;148,66;0,05;0,00;0,00;
0,00;0,00;149,83;0,02;0,00;0,00;
0,00;0,00;150,67;0,05;0,00;0,00;
0,00;0,00;150,72;0,02;0,00;0,00;
0,00;0,00;150,73;0,11;0,00;0,00;
0,00;0,00;150,88;0,02;0,00;0,00;
0,00;0,00;151,02;0,05;0,00;0,00;
0,00;0,00;151,19;0,05;0,00;0,00;
0,00;0,00;151,35;0,05;0,00;0,00;
0,00;0,00;151,51;0,09;0,00;0,00;
0,00;0,00;151,67;0,09;0,00;0,00;
0,00;0,00;151,83;0,07;0,00;0,00;
0,00;0,00;151,99;0,09;0,00;0,00;
0,00;0,00;152,15;0,09;0,00;0,00;
0,00;0,00;152,31;0,07;0,00;0,00;
0,00;0,00;152,47;0,07;0,00;0,00;
0,00;0,00;152,63;0,09;0,00;0,00;
0,00;0,00;152,79;0,09;0,00;0,00;
0,00;0,00;152,95;0,09;0,00;0,00;
0,00;0,00;153,11;0,09;0,00;0,00;
0,00;0,00;153,27;0,07;0,00;0,00;
0,00;0,00;153,43;0,09;0,00;0,00;
0,00;0,00;153,59;0,09;0,00;0,00;
0,00;0,00;153,75;0,09;0,00;0,00;
0,00;0,00;153,91;0,20;0,00;0,00;
0,00;0,00;154,07;0,27;0,00;0,00;
0,00;0,00;154,23;0,50;0,00;0,00;
0,00;0,00;154,39;0,93;0,00;0,00;
0,00;0,00;154,54;1,08;0,00;0,00;
0,00;0,00;154,70;1,29;0,00;0,00;
0,00;0,00;154,86;1,43;0,00;0,00;
0,00;0,00;155,03;1,63;0,00;0,00;
0,00;0,00;155,18;1,79;0,00;0,00;
0,00;0,00;155,35;1,94;0,00;0,00;
0,00;0,00;155,51;2,06;0,00;0,00;
0,00;0,00;155,67;2,22;0,00;0,00;
0,00;0,00;155,83;2,33;0,00;0,00;
0,00;0,00;155,99;2,44;0,00;0,00;
0,00;0,00;156,15;2,58;0,00;0,00;
0,00;0,00;156,31;2,71;0,00;0,00;
0,00;0,00;156,47;2,81;0,00;0,00;
0,00;0,00;156,63;2,94;0,00;0,00;
0,00;0,00;156,71;3,01;0,00;0,00;
0,00;0,00;156,71;2,99;0,00;0,00;
0,00;0,00;156,56;0,61;0,00;0,00;
0,00;0,00;155,91;-0,05;0,00;0,00;
0,00;0,00;154,83;-0,02;0,00;0,00;
0,00;0,00;154,15;-0,02;0,00;0,00;
0,00;0,00;153,82;0,02;0,00;0,00;
0,00;0,00;153,72;0,05;0,00;0,00;
0,00;0,00;153,70;0,02;0,00;0,00;
0,00;0,00;153,82;0,05;0,00;0,00;
0,00;0,00;153,96;0,07;0,00;0,00;
0,00;0,00;154,13;0,09;0,00;0,00;
0,00;0,00;154,30;0,09;0,00;0,00;
0,00;0,00;154,46;0,09;0,00;0,00;
0,00;0,00;154,62;0,09;0,00;0,00;
0,00;0,00;154,79;0,09;0,00;0,00;
0,00;0,00;154,95;0,09;0,00;0,00;
0,00;0,00;155,11;0,09;0,00;0,00;
0,00;0,00;155,27;0,09;0,00;0,00;
0,00;0,00;155,43;0,07;0,00;0,00;
0,00;0,00;155,59;0,09;0,00;0,00;
0,00;0,00;155,75;0,07;0,00;0,00;
0,00;0,00;155,91;0,07;0,00;0,00;
0,00;0,00;156,07;0,07;0,00;0,00;
0,00;0,00;156,23;0,07;0,00;0,00;
0,00;0,00;156,39;0,25;0,00;0,00;
0,00;0,00;156,55;0,25;0,00;0,00;
0,00;0,00;156,70;2,46;0,00;0,00;
0,00;0,00;156,84;3,07;0,00;0,00;
0,00;0,00;157,01;3,19;0,00;0,00;
0,00;0,00;157,17;3,32;0,00;0,00;
0,00;0,00;157,34;3,44;0,00;0,00;
0,00;0,00;157,50;3,57;0,00;0,00;
0,00;0,00;157,66;3,71;0,00;0,00;
0,00;0,00;157,82;3,80;0,00;0,00;
0,00;0,00;157,98;3,96;0,00;0,00;
0,00;0,00;158,14;4,07;0,00;0,00;
0,00;0,00;158,30;4,16;0,00;0,00;
0,00;0,00;158,46;4,30;0,00;0,00;
0,00;0,00;158,63;4,43;0,00;0,00;
0,00;0,00;158,79;4,52;0,00;0,00;
0,00;0,00;158,95;4,63;0,00;0,00;
0,00;0,00;159,11;4,79;0,00;0,00;
0,00;0,00;159,27;4,88;0,00;0,00;
