3907;16.09.20 13:55:37;21;Avvicinamento Pressata Finale;Alcun errore (0);20200916114214A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;38,40;-0,04;0,00;0,00;
0,00;0,00;38,70;0,04;0,00;0,00;
0,00;0,00;39,52;0,12;0,00;0,00;
0,00;0,00;40,80;0,12;0,00;0,00;
0,00;0,00;42,60;0,08;0,00;0,00;
0,00;0,00;44,90;0,08;0,00;0,00;
0,00;0,00;47,22;0,08;0,00;0,00;
0,00;0,00;49,61;0,04;0,00;0,00;
0,00;0,00;52,03;0,09;0,00;0,00;
0,00;0,00;54,42;0,09;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;61,62;0,09;0,00;0,00;
0,00;0,00;64,02;0,04;0,00;0,00;
0,00;0,00;66,42;0,09;0,00;0,00;
0,00;0,00;68,82;0,04;0,00;0,00;
0,00;0,00;71,22;0,09;0,00;0,00;
0,00;0,00;73,62;0,04;0,00;0,00;
0,00;0,00;78,42;0,04;0,00;0,00;
0,00;0,00;80,82;0,08;0,00;0,00;
0,00;0,00;83,22;0,09;0,00;0,00;
0,00;0,00;85,62;0,04;0,00;0,00;
0,00;0,00;88,02;0,04;0,00;0,00;
0,00;0,00;90,42;0,09;0,00;0,00;
0,00;0,00;92,82;0,04;0,00;0,00;
0,00;0,00;95,22;0,04;0,00;0,00;
0,00;0,00;97,62;0,04;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;102,42;0,09;0,00;0,00;
0,00;0,00;104,82;0,04;0,00;0,00;
0,00;0,00;107,22;0,04;0,00;0,00;
0,00;0,00;109,62;0,04;0,00;0,00;
0,00;0,00;114,42;0,09;0,00;0,00;
0,00;0,00;116,82;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;121,62;0,09;0,00;0,00;
0,00;0,00;128,82;0,04;0,00;0,00;
0,00;0,00;131,22;0,04;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;143,22;0,09;0,00;0,00;
0,00;0,00;150,42;0,04;0,00;0,00;
0,00;0,00;152,82;0,09;0,00;0,00;
0,00;0,00;155,22;0,04;0,00;0,00;
0,00;0,00;157,62;0,09;0,00;0,00;
0,00;0,00;162,42;0,09;0,00;0,00;
0,00;0,00;167,22;0,09;0,00;0,00;
0,00;0,00;172,02;0,04;0,00;0,00;
0,00;0,00;174,42;0,04;0,00;0,00;
0,00;0,00;176,82;0,04;0,00;0,00;
0,00;0,00;181,62;0,09;0,00;0,00;
0,00;0,00;184,02;0,04;0,00;0,00;
0,00;0,00;186,42;0,04;0,00;0,00;
0,00;0,00;188,82;0,04;0,00;0,00;
0,00;0,00;191,22;0,09;0,00;0,00;
0,00;0,00;193,62;0,09;0,00;0,00;
0,00;0,00;196,02;0,04;0,00;0,00;
0,00;0,00;203,22;0,09;0,00;0,00;
0,00;0,00;205,62;0,04;0,00;0,00;
0,00;0,00;208,02;0,04;0,00;0,00;
0,00;0,00;212,82;0,04;0,00;0,00;
0,00;0,00;215,22;0,04;0,00;0,00;
0,00;0,00;217,62;0,04;0,00;0,00;
0,00;0,00;222,42;0,09;0,00;0,00;
0,00;0,00;224,82;0,04;0,00;0,00;
0,00;0,00;227,22;0,04;0,00;0,00;
0,00;0,00;229,44;-0,09;0,00;0,00;
0,00;0,00;231,13;-0,04;0,00;0,00;
0,00;0,00;232,38;-0,04;0,00;0,00;
0,00;0,00;233,33;0,09;0,00;0,00;
0,00;0,00;233,40;0,09;0,00;0,00;
0,00;0,00;233,40;0,09;0,00;0,00;
0,00;0,00;233,40;0,09;0,00;0,00;
0,00;0,00;233,57;0,04;0,00;0,00;
0,00;0,00;233,71;0,04;0,00;0,00;
0,00;0,00;233,87;0,13;0,00;0,00;
0,00;0,00;234,04;0,09;0,00;0,00;
0,00;0,00;234,20;0,13;0,00;0,00;
0,00;0,00;234,36;0,13;0,00;0,00;
0,00;0,00;234,52;0,13;0,00;0,00;
0,00;0,00;234,68;0,13;0,00;0,00;
0,00;0,00;234,84;0,13;0,00;0,00;
0,00;0,00;235,00;0,13;0,00;0,00;
0,00;0,00;235,16;0,13;0,00;0,00;
0,00;0,00;235,32;0,09;0,00;0,00;
0,00;0,00;235,48;0,09;0,00;0,00;
0,00;0,00;235,64;0,13;0,00;0,00;
