46008;15.06.21 14:10:29;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210615134742P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,08;0,00;0,00;
0,00;0,00;0,06;0,31;0,00;0,00;
0,00;0,00;0,51;0,55;0,00;0,00;
0,00;0,00;1,28;0,55;0,00;0,00;
0,00;0,00;2,43;0,62;0,00;0,00;
0,00;0,00;3,98;0,61;0,00;0,00;
0,00;0,00;5,90;0,55;0,00;0,00;
0,00;0,00;8,20;0,47;0,00;0,00;
0,00;0,00;10,54;0,47;0,00;0,00;
0,00;0,00;12,93;0,39;0,00;0,00;
0,00;0,00;15,34;0,39;0,00;0,00;
0,00;0,00;17,74;0,47;0,00;0,00;
0,00;0,00;20,15;0,39;0,00;0,00;
0,00;0,00;22,54;0,39;0,00;0,00;
0,00;0,00;24,95;0,39;0,00;0,00;
0,00;0,00;27,35;0,39;0,00;0,00;
0,00;0,00;29,74;0,47;0,00;0,00;
0,00;0,00;32,15;0,39;0,00;0,00;
0,00;0,00;34,54;0,39;0,00;0,00;
0,00;0,00;36,95;0,39;0,00;0,00;
0,00;0,00;39,35;0,39;0,00;0,00;
0,00;0,00;41,75;0,39;0,00;0,00;
0,00;0,00;44,15;0,39;0,00;0,00;
0,00;0,00;46,54;0,39;0,00;0,00;
0,00;0,00;48,95;0,39;0,00;0,00;
0,00;0,00;51,35;0,39;0,00;0,00;
0,00;0,00;53,75;0,39;0,00;0,00;
0,00;0,00;56,15;0,39;0,00;0,00;
0,00;0,00;58,54;0,39;0,00;0,00;
0,00;0,00;60,95;0,39;0,00;0,00;
0,00;0,00;63,35;0,39;0,00;0,00;
0,00;0,00;65,75;0,39;0,00;0,00;
0,00;0,00;68,15;0,39;0,00;0,00;
0,00;0,00;70,54;0,39;0,00;0,00;
0,00;0,00;72,95;0,39;0,00;0,00;
0,00;0,00;75,35;0,31;0,00;0,00;
0,00;0,00;77,75;0,39;0,00;0,00;
0,00;0,00;80,15;0,39;0,00;0,00;
0,00;0,00;82,54;0,39;0,00;0,00;
0,00;0,00;84,95;0,39;0,00;0,00;
0,00;0,00;87,35;0,39;0,00;0,00;
0,00;0,00;89,75;0,39;0,00;0,00;
0,00;0,00;92,15;0,39;0,00;0,00;
0,00;0,00;94,54;0,39;0,00;0,00;
0,00;0,00;96,95;0,39;0,00;0,00;
0,00;0,00;99,35;0,39;0,00;0,00;
0,00;0,00;101,75;0,39;0,00;0,00;
0,00;0,00;104,15;0,39;0,00;0,00;
0,00;0,00;106,54;0,39;0,00;0,00;
0,00;0,00;108,95;0,39;0,00;0,00;
0,00;0,00;111,35;0,39;0,00;0,00;
0,00;0,00;113,75;0,39;0,00;0,00;
0,00;0,00;116,15;0,39;0,00;0,00;
0,00;0,00;118,54;0,39;0,00;0,00;
0,00;0,00;120,95;0,39;0,00;0,00;
0,00;0,00;123,35;0,39;0,00;0,00;
0,00;0,00;125,75;0,39;0,00;0,00;
0,00;0,00;128,15;0,39;0,00;0,00;
0,00;0,00;130,54;0,39;0,00;0,00;
0,00;0,00;132,95;0,39;0,00;0,00;
0,00;0,00;135,35;0,39;0,00;0,00;
0,00;0,00;137,74;0,39;0,00;0,00;
0,00;0,00;140,15;0,39;0,00;0,00;
0,00;0,00;142,54;0,39;0,00;0,00;
0,00;0,00;144,95;0,39;0,00;0,00;
0,00;0,00;147,35;0,39;0,00;0,00;
0,00;0,00;149,75;0,39;0,00;0,00;
0,00;0,00;152,15;0,39;0,00;0,00;
0,00;0,00;154,54;0,39;0,00;0,00;
0,00;0,00;156,95;0,39;0,00;0,00;
0,00;0,00;159,35;0,39;0,00;0,00;
0,00;0,00;161,74;0,39;0,00;0,00;
0,00;0,00;164,15;0,39;0,00;0,00;
0,00;0,00;166,54;0,47;0,00;0,00;
0,00;0,00;168,95;0,39;0,00;0,00;
0,00;0,00;171,35;0,47;0,00;0,00;
0,00;0,00;173,74;0,39;0,00;0,00;
0,00;0,00;176,15;0,39;0,00;0,00;
0,00;0,00;178,48;0,31;0,00;0,00;
0,00;0,00;180,43;0,47;0,00;0,00;
0,00;0,00;182,07;0,31;0,00;0,00;
0,00;0,00;183,33;0,31;0,00;0,00;
0,00;0,00;184,19;0,31;0,00;0,00;
0,00;0,00;184,68;0,23;0,00;0,00;
0,00;0,00;184,81;0,39;0,00;0,00;
0,00;0,00;184,87;0,39;0,00;0,00;
0,00;0,00;184,87;0,39;0,00;0,00;
0,00;0,00;185,04;0,31;0,00;0,00;
0,00;0,00;185,18;0,39;0,00;0,00;
0,00;0,00;185,34;0,39;0,00;0,00;
0,00;0,00;185,50;0,39;0,00;0,00;
0,00;0,00;185,66;0,39;0,00;0,00;
0,00;0,00;185,82;0,39;0,00;0,00;
0,00;0,00;185,98;0,39;0,00;0,00;
0,00;0,00;186,14;0,39;0,00;0,00;
0,00;0,00;186,30;0,39;0,00;0,00;
0,00;0,00;186,46;0,39;0,00;0,00;
0,00;0,00;186,62;0,39;0,00;0,00;
0,00;0,00;186,78;0,39;0,00;0,00;
0,00;0,00;186,94;0,39;0,00;0,00;
0,00;0,00;187,10;0,39;0,00;0,00;
0,00;0,00;187,26;0,39;0,00;0,00;
