Nr;Date;ProgNr;ProgName;State;PartInfo;
4447;02.10.20 14:15:51;21;Avvicinamento Pressata Finale;Alcun errore (0);20201002104246A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;63,20;0,08;0,00;0,00;
0,00;0,00;64,02;0,08;0,00;0,00;
0,00;0,00;65,30;0,08;0,00;0,00;
0,00;0,00;67,10;0,04;0,00;0,00;
0,00;0,00;69,40;-0,01;0,00;0,00;
0,00;0,00;71,72;0,04;0,00;0,00;
0,00;0,00;78,93;0,04;0,00;0,00;
0,00;0,00;81,32;0,08;0,00;0,00;
0,00;0,00;83,72;0,04;0,00;0,00;
0,00;0,00;86,12;0,08;0,00;0,00;
0,00;0,00;88,52;0,04;0,00;0,00;
0,00;0,00;95,72;0,08;0,00;0,00;
0,00;0,00;100,52;0,08;0,00;0,00;
0,00;0,00;107,72;-0,01;0,00;0,00;
0,00;0,00;110,12;0,04;0,00;0,00;
0,00;0,00;112,52;0,04;0,00;0,00;
0,00;0,00;117,32;-0,04;0,00;0,00;
0,00;0,00;119,72;0,04;0,00;0,00;
0,00;0,00;124,52;0,08;0,00;0,00;
0,00;0,00;126,92;0,04;0,00;0,00;
0,00;0,00;129,32;0,04;0,00;0,00;
0,00;0,00;131,72;0,04;0,00;0,00;
0,00;0,00;134,12;0,04;0,00;0,00;
0,00;0,00;136,52;0,04;0,00;0,00;
0,00;0,00;141,32;-0,01;0,00;0,00;
0,00;0,00;143,72;0,04;0,00;0,00;
0,00;0,00;146,12;0,08;0,00;0,00;
0,00;0,00;148,52;0,04;0,00;0,00;
0,00;0,00;153,32;-0,01;0,00;0,00;
0,00;0,00;155,72;0,08;0,00;0,00;
0,00;0,00;158,12;-0,01;0,00;0,00;
0,00;0,00;160,52;0,04;0,00;0,00;
0,00;0,00;167,72;-0,01;0,00;0,00;
0,00;0,00;170,12;0,04;0,00;0,00;
0,00;0,00;172,52;0,04;0,00;0,00;
0,00;0,00;174,92;0,04;0,00;0,00;
0,00;0,00;177,32;-0,04;0,00;0,00;
0,00;0,00;182,12;0,04;0,00;0,00;
0,00;0,00;186,92;0,04;0,00;0,00;
0,00;0,00;189,32;0,04;0,00;0,00;
0,00;0,00;191,72;0,04;0,00;0,00;
0,00;0,00;194,12;0,08;0,00;0,00;
0,00;0,00;196,52;0,04;0,00;0,00;
0,00;0,00;198,92;0,04;0,00;0,00;
0,00;0,00;201,32;0,08;0,00;0,00;
0,00;0,00;203,72;0,04;0,00;0,00;
0,00;0,00;206,12;0,12;0,00;0,00;
0,00;0,00;208,52;0,08;0,00;0,00;
0,00;0,00;213,32;0,04;0,00;0,00;
0,00;0,00;215,72;0,08;0,00;0,00;
0,00;0,00;218,12;0,08;0,00;0,00;
0,00;0,00;220,52;0,04;0,00;0,00;
0,00;0,00;222,92;0,04;0,00;0,00;
0,00;0,00;225,32;0,04;0,00;0,00;
0,00;0,00;227,72;0,08;0,00;0,00;
0,00;0,00;230,12;0,04;0,00;0,00;
0,00;0,00;232,52;0,08;0,00;0,00;
0,00;0,00;234,92;0,08;0,00;0,00;
0,00;0,00;244,52;0,04;0,00;0,00;
0,00;0,00;246,92;0,04;0,00;0,00;
0,00;0,00;249,32;0,04;0,00;0,00;
0,00;0,00;253,94;-0,04;0,00;0,00;
0,00;0,00;255,63;0,04;0,00;0,00;
0,00;0,00;257,90;0,04;0,00;0,00;
0,00;0,00;257,90;0,04;0,00;0,00;
0,00;0,00;258,07;-0,01;0,00;0,00;
0,00;0,00;258,22;0,08;0,00;0,00;
0,00;0,00;258,37;0,04;0,00;0,00;
0,00;0,00;258,54;0,04;0,00;0,00;
0,00;0,00;259,02;0,04;0,00;0,00;
0,00;0,00;259,18;0,04;0,00;0,00;
0,00;0,00;259,50;0,12;0,00;0,00;
0,00;0,00;259,98;0,08;0,00;0,00;
0,00;0,00;260,14;0,04;0,00;0,00;
0,00;0,00;260,30;0,04;0,00;0,00;
0,00;0,00;260,46;0,04;0,00;0,00;
0,00;0,00;261,10;0,04;0,00;0,00;
0,00;0,00;261,26;0,04;0,00;0,00;
0,00;0,00;261,42;0,12;0,00;0,00;
0,00;0,00;261,58;0,04;0,00;0,00;
0,00;0,00;261,74;0,08;0,00;0,00;
0,00;0,00;261,90;0,12;0,00;0,00;
0,00;0,00;262,06;0,08;0,00;0,00;
0,00;0,00;262,38;0,08;0,00;0,00;
0,00;0,00;262,54;0,04;0,00;0,00;
0,00;0,00;262,70;0,12;0,00;0,00;
0,00;0,00;262,86;0,04;0,00;0,00;
0,00;0,00;263,02;0,08;0,00;0,00;
0,00;0,00;263,18;0,12;0,00;0,00;
0,00;0,00;263,50;0,08;0,00;0,00;
0,00;0,00;263,66;0,04;0,00;0,00;
0,00;0,00;263,82;0,04;0,00;0,00;
0,00;0,00;263,98;0,04;0,00;0,00;
0,00;0,00;264,14;0,04;0,00;0,00;
0,00;0,00;264,30;0,12;0,00;0,00;
0,00;0,00;264,46;0,08;0,00;0,00;
0,00;0,00;264,62;0,17;0,00;0,00;
0,00;0,00;264,78;0,04;0,00;0,00;
0,00;0,00;265,10;0,04;0,00;0,00;
0,00;0,00;265,42;0,08;0,00;0,00;
0,00;0,00;265,58;0,12;0,00;0,00;
0,00;0,00;265,74;0,12;0,00;0,00;
0,00;0,00;265,90;0,12;0,00;0,00;
0,00;0,00;266,06;0,08;0,00;0,00;
0,00;0,00;266,22;0,08;0,00;0,00;
0,00;0,00;266,38;0,08;0,00;0,00;
0,00;0,00;266,54;0,08;0,00;0,00;
0,00;0,00;266,70;0,08;0,00;0,00;
0,00;0,00;266,86;0,04;0,00;0,00;
0,00;0,00;267,02;0,12;0,00;0,00;
0,00;0,00;267,18;0,12;0,00;0,00;
0,00;0,00;267,34;0,12;0,00;0,00;
0,00;0,00;267,66;0,04;0,00;0,00;
0,00;0,00;267,82;0,08;0,00;0,00;
0,00;0,00;267,98;0,08;0,00;0,00;
0,00;0,00;268,14;0,12;0,00;0,00;
0,00;0,00;268,30;0,12;0,00;0,00;
0,00;0,00;268,46;0,04;0,00;0,00;
0,00;0,00;268,62;0,08;0,00;0,00;
0,00;0,00;268,78;0,12;0,00;0,00;
0,00;0,00;268,94;0,08;0,00;0,00;
0,00;0,00;269,10;0,12;0,00;0,00;
0,00;0,00;269,26;0,17;0,00;0,00;
0,00;0,00;269,42;0,12;0,00;0,00;
0,00;0,00;269,58;0,12;0,00;0,00;
0,00;0,00;269,74;0,12;0,00;0,00;
0,00;0,00;269,90;0,08;0,00;0,00;
0,00;0,00;270,06;0,12;0,00;0,00;
0,00;0,00;270,22;0,04;0,00;0,00;
0,00;0,00;270,38;0,08;0,00;0,00;
0,00;0,00;270,54;0,12;0,00;0,00;
0,00;0,00;270,70;0,12;0,00;0,00;
0,00;0,00;270,86;0,12;0,00;0,00;
0,00;0,00;271,02;0,12;0,00;0,00;
0,00;0,00;271,18;0,08;0,00;0,00;
0,00;0,00;271,34;0,17;0,00;0,00;
0,00;0,00;271,50;0,08;0,00;0,00;
0,00;0,00;271,66;0,08;0,00;0,00;
0,00;0,00;271,82;0,12;0,00;0,00;
0,00;0,00;271,98;0,08;0,00;0,00;
0,00;0,00;272,14;0,12;0,00;0,00;
0,00;0,00;272,30;0,08;0,00;0,00;
0,00;0,00;272,46;0,08;0,00;0,00;
0,00;0,00;272,62;0,12;0,00;0,00;
0,00;0,00;272,78;0,08;0,00;0,00;
0,00;0,00;272,94;0,08;0,00;0,00;
0,00;0,00;273,10;0,08;0,00;0,00;
0,00;0,00;273,26;0,08;0,00;0,00;
0,00;0,00;273,42;0,04;0,00;0,00;
0,00;0,00;273,58;0,08;0,00;0,00;
0,00;0,00;273,74;0,08;0,00;0,00;
0,00;0,00;273,90;0,08;0,00;0,00;
0,00;0,00;274,06;0,12;0,00;0,00;
0,00;0,00;274,22;0,08;0,00;0,00;
0,00;0,00;274,38;0,12;0,00;0,00;
0,00;0,00;274,54;0,04;0,00;0,00;
0,00;0,00;274,70;0,08;0,00;0,00;
0,00;0,00;274,86;0,08;0,00;0,00;
0,00;0,00;275,02;0,08;0,00;0,00;
0,00;0,00;275,18;0,08;0,00;0,00;
0,00;0,00;275,34;0,12;0,00;0,00;
0,00;0,00;275,50;0,08;0,00;0,00;
0,00;0,00;275,66;0,12;0,00;0,00;
0,00;0,00;275,82;0,12;0,00;0,00;
0,00;0,00;275,98;0,08;0,00;0,00;
0,00;0,00;276,14;0,04;0,00;0,00;
0,00;0,00;276,30;0,08;0,00;0,00;
0,00;0,00;276,46;0,04;0,00;0,00;
0,00;0,00;276,62;0,04;0,00;0,00;
0,00;0,00;276,78;0,08;0,00;0,00;
0,00;0,00;276,94;0,12;0,00;0,00;
0,00;0,00;277,10;0,08;0,00;0,00;
0,00;0,00;277,26;0,12;0,00;0,00;
0,00;0,00;277,42;0,12;0,00;0,00;
0,00;0,00;277,58;0,08;0,00;0,00;
0,00;0,00;277,74;0,04;0,00;0,00;
0,00;0,00;277,90;0,08;0,00;0,00;
0,00;0,00;278,06;0,04;0,00;0,00;
0,00;0,00;278,38;0,08;0,00;0,00;
