28852;12.03.21 15:08:55;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210312130025P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,41;0,14;0,00;0,00;
0,00;0,00;20,86;0,22;0,00;0,00;
0,00;0,00;21,63;0,37;0,00;0,00;
0,00;0,00;22,78;0,22;0,00;0,00;
0,00;0,00;24,33;0,22;0,00;0,00;
0,00;0,00;26,25;0,37;0,00;0,00;
0,00;0,00;28,55;0,22;0,00;0,00;
0,00;0,00;30,89;0,30;0,00;0,00;
0,00;0,00;33,28;0,37;0,00;0,00;
0,00;0,00;35,69;0,14;0,00;0,00;
0,00;0,00;38,10;0,14;0,00;0,00;
0,00;0,00;40,49;0,14;0,00;0,00;
0,00;0,00;42,90;0,30;0,00;0,00;
0,00;0,00;45,30;0,22;0,00;0,00;
0,00;0,00;47,69;0,30;0,00;0,00;
0,00;0,00;50,10;0,14;0,00;0,00;
0,00;0,00;52,50;0,22;0,00;0,00;
0,00;0,00;54,90;0,30;0,00;0,00;
0,00;0,00;57,30;0,30;0,00;0,00;
0,00;0,00;59,69;0,14;0,00;0,00;
0,00;0,00;62,10;0,30;0,00;0,00;
0,00;0,00;64,50;0,22;0,00;0,00;
0,00;0,00;66,90;0,22;0,00;0,00;
0,00;0,00;69,30;0,30;0,00;0,00;
0,00;0,00;71,69;0,22;0,00;0,00;
0,00;0,00;74,10;0,14;0,00;0,00;
0,00;0,00;76,50;0,14;0,00;0,00;
0,00;0,00;78,90;0,22;0,00;0,00;
0,00;0,00;81,30;0,22;0,00;0,00;
0,00;0,00;83,69;0,22;0,00;0,00;
0,00;0,00;86,10;0,14;0,00;0,00;
0,00;0,00;88,50;0,22;0,00;0,00;
0,00;0,00;90,90;0,22;0,00;0,00;
0,00;0,00;93,30;0,22;0,00;0,00;
0,00;0,00;95,69;0,22;0,00;0,00;
0,00;0,00;98,10;0,14;0,00;0,00;
0,00;0,00;100,50;0,14;0,00;0,00;
