8312;30.03.20 16:16:03;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200327064204P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,35;0,05;0,00;0,00;
0,00;0,00;34,88;0,06;0,00;0,00;
0,00;0,00;35,92;0,04;0,00;0,00;
0,00;0,00;37,48;0,06;0,00;0,00;
0,00;0,00;39,54;0,05;0,00;0,00;
0,00;0,00;42,11;0,06;0,00;0,00;
0,00;0,00;45,20;0,04;0,00;0,00;
0,00;0,00;48,67;0,02;0,00;0,00;
0,00;0,00;52,19;0,02;0,00;0,00;
0,00;0,00;55,71;0,01;0,00;0,00;
0,00;0,00;59,23;0,03;0,00;0,00;
0,00;0,00;62,75;0,03;0,00;0,00;
0,00;0,00;66,27;0,02;0,00;0,00;
0,00;0,00;69,78;0,04;0,00;0,00;
0,00;0,00;73,31;0,02;0,00;0,00;
0,00;0,00;76,83;0,01;0,00;0,00;
0,00;0,00;80,35;0,02;0,00;0,00;
0,00;0,00;83,87;0,04;0,00;0,00;
0,00;0,00;87,39;0,01;0,00;0,00;
0,00;0,00;90,62;0,01;0,00;0,00;
0,00;0,00;93,40;-0,01;0,00;0,00;
0,00;0,00;97,44;0,01;0,00;0,00;
0,00;0,00;98,72;-0,01;0,00;0,00;
0,00;0,00;99,50;-0,01;0,00;0,00;
0,00;0,00;99,80;0,01;0,00;0,00;
0,00;0,00;99,82;0,03;0,00;0,00;
0,00;0,00;99,89;0,07;0,00;0,00;
0,00;0,00;100,02;0,20;0,00;0,00;
0,00;0,00;100,17;0,31;0,00;0,00;
0,00;0,00;100,32;0,39;0,00;0,00;
0,00;0,00;100,46;0,46;0,00;0,00;
0,00;0,00;100,61;0,55;0,00;0,00;
0,00;0,00;100,75;0,58;0,00;0,00;
0,00;0,00;100,90;0,64;0,00;0,00;
0,00;0,00;101,04;0,70;0,00;0,00;
0,00;0,00;101,18;0,74;0,00;0,00;
0,00;0,00;101,33;0,77;0,00;0,00;
0,00;0,00;101,47;0,79;0,00;0,00;
0,00;0,00;101,62;0,82;0,00;0,00;
0,00;0,00;101,76;0,84;0,00;0,00;
0,00;0,00;101,81;0,84;0,00;0,00;
0,00;0,00;101,81;0,80;0,00;0,00;
0,00;0,00;101,56;-0,01;0,00;0,00;
0,00;0,00;100,76;-0,03;0,00;0,00;
0,00;0,00;99,49;0,01;0,00;0,00;
0,00;0,00;98,50;0,01;0,00;0,00;
0,00;0,00;97,92;0,01;0,00;0,00;
0,00;0,00;97,79;-0,01;0,00;0,00;
0,00;0,00;97,84;0,01;0,00;0,00;
0,00;0,00;98,13;0,01;0,00;0,00;
0,00;0,00;98,57;0,01;0,00;0,00;
