2299;02.07.20 13:57:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200702104329A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,02;0,00;0,00;
0,00;0,00;39,96;0,16;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,52;0,13;0,00;0,00;
0,00;0,00;43,05;0,18;0,00;0,00;
0,00;0,00;45,09;0,09;0,00;0,00;
0,00;0,00;47,66;0,11;0,00;0,00;
0,00;0,00;50,70;0,14;0,00;0,00;
0,00;0,00;53,84;0,14;0,00;0,00;
0,00;0,00;57,00;0,11;0,00;0,00;
0,00;0,00;60,27;0,05;0,00;0,00;
0,00;0,00;63,42;0,05;0,00;0,00;
0,00;0,00;66,64;0,13;0,00;0,00;
0,00;0,00;69,84;0,09;0,00;0,00;
0,00;0,00;73,04;0,09;0,00;0,00;
0,00;0,00;76,24;0,11;0,00;0,00;
0,00;0,00;79,45;0,02;0,00;0,00;
0,00;0,00;82,65;0,13;0,00;0,00;
0,00;0,00;85,84;0,05;0,00;0,00;
0,00;0,00;89,05;0,13;0,00;0,00;
0,00;0,00;92,25;0,07;0,00;0,00;
0,00;0,00;95,45;0,07;0,00;0,00;
0,00;0,00;98,65;0,11;0,00;0,00;
0,00;0,00;101,84;0,09;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,11;0,00;0,00;
0,00;0,00;111,45;0,05;0,00;0,00;
0,00;0,00;114,65;0,13;0,00;0,00;
0,00;0,00;117,85;0,07;0,00;0,00;
0,00;0,00;121,05;0,16;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,07;0,00;0,00;
0,00;0,00;130,65;0,11;0,00;0,00;
0,00;0,00;133,84;0,05;0,00;0,00;
0,00;0,00;137,05;0,13;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,05;0,00;0,00;
0,00;0,00;146,65;0,13;0,00;0,00;
0,00;0,00;149,85;0,07;0,00;0,00;
0,00;0,00;153,05;0,13;0,00;0,00;
0,00;0,00;156,25;0,13;0,00;0,00;
0,00;0,00;159,42;0,05;0,00;0,00;
0,00;0,00;162,10;0,07;0,00;0,00;
0,00;0,00;164,34;0,02;0,00;0,00;
0,00;0,00;166,11;-0,02;0,00;0,00;
0,00;0,00;167,36;-0,04;0,00;0,00;
0,00;0,00;168,10;-0,06;0,00;0,00;
0,00;0,00;168,43;0,07;0,00;0,00;
0,00;0,00;168,59;0,02;0,00;0,00;
0,00;0,00;168,73;0,02;0,00;0,00;
0,00;0,00;168,89;0,07;0,00;0,00;
0,00;0,00;169,05;0,07;0,00;0,00;
0,00;0,00;169,21;0,07;0,00;0,00;
0,00;0,00;169,37;0,05;0,00;0,00;
0,00;0,00;169,53;0,07;0,00;0,00;
0,00;0,00;169,69;0,07;0,00;0,00;
0,00;0,00;169,85;0,07;0,00;0,00;
0,00;0,00;170,01;0,07;0,00;0,00;
0,00;0,00;170,17;0,05;0,00;0,00;
0,00;0,00;170,33;0,05;0,00;0,00;
0,00;0,00;170,49;0,07;0,00;0,00;
0,00;0,00;170,65;0,07;0,00;0,00;
0,00;0,00;170,81;0,16;0,00;0,00;
0,00;0,00;170,97;0,20;0,00;0,00;
0,00;0,00;171,13;0,25;0,00;0,00;
0,00;0,00;171,29;0,43;0,00;0,00;
0,00;0,00;171,45;0,68;0,00;0,00;
0,00;0,00;171,60;0,88;0,00;0,00;
0,00;0,00;171,76;0,95;0,00;0,00;
0,00;0,00;171,92;0,99;0,00;0,00;
0,00;0,00;172,08;1,06;0,00;0,00;
0,00;0,00;172,25;1,15;0,00;0,00;
0,00;0,00;172,41;1,20;0,00;0,00;
0,00;0,00;172,57;1,29;0,00;0,00;
0,00;0,00;172,73;1,33;0,00;0,00;
0,00;0,00;172,89;1,33;0,00;0,00;
0,00;0,00;173,05;1,43;0,00;0,00;
0,00;0,00;173,21;1,43;0,00;0,00;
0,00;0,00;173,37;1,47;0,00;0,00;
0,00;0,00;173,53;1,52;0,00;0,00;
0,00;0,00;173,69;1,52;0,00;0,00;
0,00;0,00;173,85;1,52;0,00;0,00;
0,00;0,00;174,01;1,58;0,00;0,00;
0,00;0,00;174,17;1,63;0,00;0,00;
0,00;0,00;174,33;1,70;0,00;0,00;
0,00;0,00;174,41;1,52;0,00;0,00;
0,00;0,00;174,41;1,40;0,00;0,00;
0,00;0,00;174,26;0,13;0,00;0,00;
0,00;0,00;173,60;-0,16;0,00;0,00;
0,00;0,00;172,81;0,09;0,00;0,00;
0,00;0,00;172,53;-0,04;0,00;0,00;
0,00;0,00;172,44;-0,06;0,00;0,00;
0,00;0,00;172,40;-0,09;0,00;0,00;
0,00;0,00;172,40;-0,02;0,00;0,00;
0,00;0,00;172,46;0,09;0,00;0,00;
0,00;0,00;172,59;0,07;0,00;0,00;
0,00;0,00;172,92;0,02;0,00;0,00;
0,00;0,00;173,08;0,05;0,00;0,00;
0,00;0,00;173,24;0,07;0,00;0,00;
0,00;0,00;173,41;0,07;0,00;0,00;
0,00;0,00;173,57;0,05;0,00;0,00;
0,00;0,00;173,73;0,05;0,00;0,00;
0,00;0,00;173,89;0,05;0,00;0,00;
0,00;0,00;174,05;0,07;0,00;0,00;
0,00;0,00;174,21;0,25;0,00;0,00;
0,00;0,00;174,37;0,50;0,00;0,00;
0,00;0,00;174,52;1,79;0,00;0,00;
0,00;0,00;174,68;1,88;0,00;0,00;
0,00;0,00;174,84;1,90;0,00;0,00;
0,00;0,00;175,00;1,97;0,00;0,00;
0,00;0,00;175,16;2,01;0,00;0,00;
0,00;0,00;175,33;2,06;0,00;0,00;
0,00;0,00;175,49;2,22;0,00;0,00;
0,00;0,00;175,65;2,28;0,00;0,00;
0,00;0,00;175,81;2,37;0,00;0,00;
0,00;0,00;175,97;2,48;0,00;0,00;
0,00;0,00;176,01;2,92;0,00;0,00;
0,00;0,00;176,01;2,87;0,00;0,00;
0,00;0,00;175,94;1,51;0,00;0,00;
0,00;0,00;175,42;-0,16;0,00;0,00;
0,00;0,00;174,40;-0,18;0,00;0,00;
0,00;0,00;172,87;-0,23;0,00;0,00;
0,00;0,00;170,82;-0,11;0,00;0,00;
0,00;0,00;168,26;-0,11;0,00;0,00;
0,00;0,00;165,21;-0,16;0,00;0,00;
0,00;0,00;162,07;-0,11;0,00;0,00;
