Nr;Date;ProgNr;ProgName;State;PartInfo;
22457;05.02.21 11:19:16;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20210205101448P0045;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,25;0,16;0,00;0,00;
0,00;0,00;74,71;0,16;0,00;0,00;
0,00;0,00;75,48;0,16;0,00;0,00;
0,00;0,00;76,63;0,16;0,00;0,00;
0,00;0,00;78,18;0,16;0,00;0,00;
0,00;0,00;80,10;0,22;0,00;0,00;
0,00;0,00;82,40;0,30;0,00;0,00;
0,00;0,00;84,73;0,16;0,00;0,00;
0,00;0,00;87,13;0,08;0,00;0,00;
0,00;0,00;91,94;0,23;0,00;0,00;
0,00;0,00;94,34;0,16;0,00;0,00;
0,00;0,00;96,74;0,08;0,00;0,00;
0,00;0,00;101,54;0,08;0,00;0,00;
0,00;0,00;103,95;0,16;0,00;0,00;
0,00;0,00;106,35;0,16;0,00;0,00;
0,00;0,00;108,74;0,16;0,00;0,00;
0,00;0,00;111,15;0,08;0,00;0,00;
0,00;0,00;118,35;0,16;0,00;0,00;
0,00;0,00;120,75;0,16;0,00;0,00;
0,00;0,00;127,95;0,08;0,00;0,00;
0,00;0,00;130,35;0,16;0,00;0,00;
0,00;0,00;132,75;0,16;0,00;0,00;
0,00;0,00;137,54;0,08;0,00;0,00;
0,00;0,00;139,95;0,08;0,00;0,00;
0,00;0,00;142,35;0,16;0,00;0,00;
0,00;0,00;144,75;0,08;0,00;0,00;
0,00;0,00;151,95;0,08;0,00;0,00;
0,00;0,00;154,35;0,16;0,00;0,00;
0,00;0,00;156,74;0,16;0,00;0,00;
0,00;0,00;159,15;0,08;0,00;0,00;
0,00;0,00;161,54;0,16;0,00;0,00;
0,00;0,00;163,95;0,16;0,00;0,00;
0,00;0,00;166,35;0,31;0,00;0,00;
0,00;0,00;168,75;0,16;0,00;0,00;
0,00;0,00;171,15;0,08;0,00;0,00;
0,00;0,00;173,54;0,08;0,00;0,00;
0,00;0,00;177,31;0,16;0,00;0,00;
0,00;0,00;180,55;-0,16;0,00;0,00;
0,00;0,00;182,65;0,08;0,00;0,00;
0,00;0,00;182,81;0,08;0,00;0,00;
0,00;0,00;182,97;0,08;0,00;0,00;
0,00;0,00;183,13;0,08;0,00;0,00;
0,00;0,00;184,36;-0,53;0,00;0,00;
0,00;0,00;183,74;-0,37;0,00;0,00;
0,00;0,00;183,07;-0,30;0,00;0,00;
0,00;0,00;182,77;-0,16;0,00;0,00;
0,00;0,00;182,65;-0,30;0,00;0,00;
0,00;0,00;182,58;-0,30;0,00;0,00;
0,00;0,00;182,59;-0,23;0,00;0,00;
0,00;0,00;182,85;0,08;0,00;0,00;
0,00;0,00;183,00;0,08;0,00;0,00;
0,00;0,00;184,13;0,08;0,00;0,00;
0,00;0,00;185,09;0,08;0,00;0,00;
0,00;0,00;185,57;0,08;0,00;0,00;
0,00;0,00;185,89;0,08;0,00;0,00;
0,00;0,00;186,21;0,08;0,00;0,00;
0,00;0,00;187,01;0,16;0,00;0,00;
0,00;0,00;187,33;0,08;0,00;0,00;
0,00;0,00;187,65;0,08;0,00;0,00;
0,00;0,00;188,29;0,08;0,00;0,00;
0,00;0,00;188,77;0,16;0,00;0,00;
0,00;0,00;189,73;0,16;0,00;0,00;
0,00;0,00;189,89;0,08;0,00;0,00;
0,00;0,00;190,21;0,08;0,00;0,00;
0,00;0,00;190,37;0,08;0,00;0,00;
0,00;0,00;191,33;0,08;0,00;0,00;
0,00;0,00;192,77;0,08;0,00;0,00;
0,00;0,00;193,25;0,16;0,00;0,00;
0,00;0,00;193,57;0,08;0,00;0,00;
0,00;0,00;193,73;0,08;0,00;0,00;
0,00;0,00;193,89;0,08;0,00;0,00;
0,00;0,00;194,37;0,08;0,00;0,00;
0,00;0,00;194,85;0,16;0,00;0,00;
0,00;0,00;195,17;0,08;0,00;0,00;
0,00;0,00;195,49;0,08;0,00;0,00;
0,00;0,00;195,97;0,08;0,00;0,00;
0,00;0,00;196,45;0,08;0,00;0,00;
0,00;0,00;196,61;0,08;0,00;0,00;
0,00;0,00;196,77;0,08;0,00;0,00;
0,00;0,00;197,57;0,08;0,00;0,00;
0,00;0,00;197,89;0,08;0,00;0,00;
0,00;0,00;198,21;0,08;0,00;0,00;
0,00;0,00;198,85;0,08;0,00;0,00;
0,00;0,00;199,17;0,08;0,00;0,00;
0,00;0,00;199,55;0,08;0,00;0,00;
0,00;0,00;199,55;0,08;0,00;0,00;
