2659;11.09.20 08:46:37;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200910150707A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;-0,04;0,16;0,00;0,00;
0,00;0,00;0,49;0,11;0,00;0,00;
0,00;0,00;1,51;0,17;0,00;0,00;
0,00;0,00;3,04;0,22;0,00;0,00;
0,00;0,00;5,09;0,11;0,00;0,00;
0,00;0,00;7,66;0,11;0,00;0,00;
0,00;0,00;10,68;0,24;0,00;0,00;
0,00;0,00;13,84;0,13;0,00;0,00;
0,00;0,00;17,00;0,16;0,00;0,00;
0,00;0,00;20,28;0,04;0,00;0,00;
0,00;0,00;23,43;0,04;0,00;0,00;
0,00;0,00;26,66;0,09;0,00;0,00;
0,00;0,00;29,84;0,06;0,00;0,00;
0,00;0,00;33,06;0,11;0,00;0,00;
0,00;0,00;36,25;0,11;0,00;0,00;
0,00;0,00;39,46;0,06;0,00;0,00;
0,00;0,00;42,65;0,11;0,00;0,00;
0,00;0,00;45,85;0,04;0,00;0,00;
0,00;0,00;49,05;0,13;0,00;0,00;
0,00;0,00;52,25;0,11;0,00;0,00;
0,00;0,00;55,45;0,04;0,00;0,00;
0,00;0,00;58,65;0,13;0,00;0,00;
0,00;0,00;61,85;0,09;0,00;0,00;
0,00;0,00;65,05;0,15;0,00;0,00;
0,00;0,00;68,25;0,11;0,00;0,00;
0,00;0,00;71,45;0,04;0,00;0,00;
0,00;0,00;74,65;0,15;0,00;0,00;
0,00;0,00;77,85;0,06;0,00;0,00;
0,00;0,00;81,05;0,17;0,00;0,00;
0,00;0,00;84,25;0,09;0,00;0,00;
0,00;0,00;87,45;0,06;0,00;0,00;
0,00;0,00;90,65;0,11;0,00;0,00;
0,00;0,00;93,85;0,09;0,00;0,00;
0,00;0,00;97,05;0,13;0,00;0,00;
0,00;0,00;100,25;0,11;0,00;0,00;
0,00;0,00;103,45;0,11;0,00;0,00;
0,00;0,00;106,65;0,06;0,00;0,00;
0,00;0,00;109,85;0,09;0,00;0,00;
0,00;0,00;113,05;0,13;0,00;0,00;
0,00;0,00;116,25;0,13;0,00;0,00;
0,00;0,00;119,45;0,09;0,00;0,00;
0,00;0,00;122,65;0,15;0,00;0,00;
0,00;0,00;125,85;0,06;0,00;0,00;
0,00;0,00;129,05;0,11;0,00;0,00;
0,00;0,00;132,25;0,11;0,00;0,00;
0,00;0,00;135,45;0,02;0,00;0,00;
0,00;0,00;138,65;0,06;0,00;0,00;
0,00;0,00;141,85;0,11;0,00;0,00;
0,00;0,00;145,05;0,15;0,00;0,00;
0,00;0,00;148,25;0,11;0,00;0,00;
0,00;0,00;151,45;0,09;0,00;0,00;
0,00;0,00;154,65;0,11;0,00;0,00;
0,00;0,00;157,85;0,06;0,00;0,00;
0,00;0,00;163,28;0,02;0,00;0,00;
0,00;0,00;165,29;0,04;0,00;0,00;
0,00;0,00;166,80;0,02;0,00;0,00;
0,00;0,00;167,79;-0,05;0,00;0,00;
0,00;0,00;168,28;-0,02;0,00;0,00;
0,00;0,00;168,39;0,02;0,00;0,00;
0,00;0,00;168,43;0,02;0,00;0,00;
0,00;0,00;168,52;0,04;0,00;0,00;
0,00;0,00;168,66;0,06;0,00;0,00;
0,00;0,00;168,81;0,06;0,00;0,00;
0,00;0,00;168,97;0,04;0,00;0,00;
0,00;0,00;169,13;0,06;0,00;0,00;
0,00;0,00;169,29;0,06;0,00;0,00;
0,00;0,00;169,45;0,04;0,00;0,00;
0,00;0,00;169,61;0,09;0,00;0,00;
0,00;0,00;169,77;0,04;0,00;0,00;
0,00;0,00;169,93;0,02;0,00;0,00;
0,00;0,00;170,09;0,06;0,00;0,00;
0,00;0,00;170,25;0,04;0,00;0,00;
0,00;0,00;170,41;0,06;0,00;0,00;
0,00;0,00;170,57;0,06;0,00;0,00;
0,00;0,00;170,89;0,09;0,00;0,00;
0,00;0,00;171,05;0,20;0,00;0,00;
0,00;0,00;171,21;0,18;0,00;0,00;
0,00;0,00;171,37;0,31;0,00;0,00;
0,00;0,00;171,53;0,52;0,00;0,00;
