Nr;Date;ProgNr;ProgName;State;PartInfo;
21490;02.02.21 08:51:34;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210201164632A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,00;-0,08;0,00;0,00;
0,00;0,00;74,05;0,30;0,00;0,00;
0,00;0,00;74,51;0,30;0,00;0,00;
0,00;0,00;75,28;0,45;0,00;0,00;
0,00;0,00;76,43;0,30;0,00;0,00;
0,00;0,00;77,98;0,37;0,00;0,00;
0,00;0,00;79,90;0,37;0,00;0,00;
0,00;0,00;82,20;0,22;0,00;0,00;
0,00;0,00;84,53;0,22;0,00;0,00;
0,00;0,00;86,93;0,30;0,00;0,00;
0,00;0,00;89,34;0,30;0,00;0,00;
0,00;0,00;91,74;0,22;0,00;0,00;
0,00;0,00;94,15;0,22;0,00;0,00;
0,00;0,00;96,54;0,08;0,00;0,00;
0,00;0,00;98,95;0,30;0,00;0,00;
0,00;0,00;101,35;0,30;0,00;0,00;
0,00;0,00;103,74;0,22;0,00;0,00;
0,00;0,00;106,15;0,16;0,00;0,00;
0,00;0,00;108,54;0,22;0,00;0,00;
0,00;0,00;110,95;0,22;0,00;0,00;
0,00;0,00;113,35;0,30;0,00;0,00;
0,00;0,00;115,74;0,22;0,00;0,00;
0,00;0,00;118,15;0,22;0,00;0,00;
0,00;0,00;120,54;0,14;0,00;0,00;
0,00;0,00;122,95;0,30;0,00;0,00;
0,00;0,00;125,35;0,30;0,00;0,00;
0,00;0,00;127,75;0,22;0,00;0,00;
0,00;0,00;130,15;0,22;0,00;0,00;
0,00;0,00;132,54;0,22;0,00;0,00;
0,00;0,00;134,95;0,22;0,00;0,00;
0,00;0,00;137,35;0,30;0,00;0,00;
0,00;0,00;139,74;0,22;0,00;0,00;
0,00;0,00;142,15;0,22;0,00;0,00;
0,00;0,00;144,54;0,16;0,00;0,00;
0,00;0,00;146,95;0,22;0,00;0,00;
0,00;0,00;149,35;0,30;0,00;0,00;
0,00;0,00;151,75;0,22;0,00;0,00;
0,00;0,00;154,15;0,22;0,00;0,00;
0,00;0,00;156,54;0,16;0,00;0,00;
0,00;0,00;158,95;0,30;0,00;0,00;
0,00;0,00;161,35;0,16;0,00;0,00;
0,00;0,00;163,75;0,30;0,00;0,00;
0,00;0,00;166,15;0,22;0,00;0,00;
0,00;0,00;168,55;0,16;0,00;0,00;
0,00;0,00;170,85;0,08;0,00;0,00;
0,00;0,00;172,76;0,14;0,00;0,00;
0,00;0,00;174,38;0,22;0,00;0,00;
0,00;0,00;175,62;0,14;0,00;0,00;
0,00;0,00;176,48;0,22;0,00;0,00;
0,00;0,00;176,97;0,08;0,00;0,00;
0,00;0,00;177,11;0,16;0,00;0,00;
0,00;0,00;177,17;0,16;0,00;0,00;
0,00;0,00;177,17;0,22;0,00;0,00;
0,00;0,00;177,34;0,16;0,00;0,00;
0,00;0,00;177,47;0,16;0,00;0,00;
0,00;0,00;177,64;0,16;0,00;0,00;
0,00;0,00;177,80;0,16;0,00;0,00;
0,00;0,00;177,96;0,16;0,00;0,00;
0,00;0,00;178,12;0,16;0,00;0,00;
0,00;0,00;178,28;0,16;0,00;0,00;
0,00;0,00;178,44;0,16;0,00;0,00;
0,00;0,00;178,60;0,16;0,00;0,00;
0,00;0,00;178,76;0,16;0,00;0,00;
0,00;0,00;178,92;0,16;0,00;0,00;
0,00;0,00;179,08;0,16;0,00;0,00;
0,00;0,00;179,24;0,16;0,00;0,00;
0,00;0,00;179,40;0,16;0,00;0,00;
0,00;0,00;179,56;0,16;0,00;0,00;
0,00;0,00;179,72;0,16;0,00;0,00;
0,00;0,00;179,88;0,16;0,00;0,00;
0,00;0,00;180,04;0,16;0,00;0,00;
0,00;0,00;180,20;0,16;0,00;0,00;
0,00;0,00;180,36;0,16;0,00;0,00;
0,00;0,00;180,52;0,16;0,00;0,00;
0,00;0,00;180,68;0,16;0,00;0,00;
0,00;0,00;180,84;0,16;0,00;0,00;
0,00;0,00;181,00;0,16;0,00;0,00;
0,00;0,00;181,16;0,16;0,00;0,00;
0,00;0,00;181,32;0,16;0,00;0,00;
0,00;0,00;181,48;0,16;0,00;0,00;
0,00;0,00;181,64;0,16;0,00;0,00;
0,00;0,00;181,80;0,22;0,00;0,00;
0,00;0,00;181,96;0,16;0,00;0,00;
0,00;0,00;182,12;0,16;0,00;0,00;
0,00;0,00;182,28;0,16;0,00;0,00;
0,00;0,00;182,44;0,16;0,00;0,00;
0,00;0,00;182,60;0,16;0,00;0,00;
0,00;0,00;182,76;0,16;0,00;0,00;
0,00;0,00;182,92;0,16;0,00;0,00;
0,00;0,00;183,08;0,16;0,00;0,00;
0,00;0,00;183,24;0,16;0,00;0,00;
0,00;0,00;183,40;0,16;0,00;0,00;
0,00;0,00;183,56;0,16;0,00;0,00;
0,00;0,00;183,72;0,16;0,00;0,00;
0,00;0,00;183,88;0,16;0,00;0,00;
0,00;0,00;184,04;0,16;0,00;0,00;
0,00;0,00;184,15;0,16;0,00;0,00;
0,00;0,00;184,15;0,16;0,00;0,00;
0,00;0,00;184,09;-0,08;0,00;0,00;
0,00;0,00;183,64;-0,23;0,00;0,00;
0,00;0,00;182,87;-0,31;0,00;0,00;
0,00;0,00;182,00;-0,23;0,00;0,00;
0,00;0,00;181,50;-0,16;0,00;0,00;
0,00;0,00;181,22;-0,08;0,00;0,00;
0,00;0,00;181,15;-0,16;0,00;0,00;
0,00;0,00;181,14;-0,16;0,00;0,00;
0,00;0,00;181,15;0,08;0,00;0,00;
0,00;0,00;181,34;0,16;0,00;0,00;
0,00;0,00;181,47;0,22;0,00;0,00;
0,00;0,00;181,63;0,16;0,00;0,00;
0,00;0,00;181,80;0,16;0,00;0,00;
0,00;0,00;181,96;0,16;0,00;0,00;
0,00;0,00;182,12;0,16;0,00;0,00;
0,00;0,00;182,28;0,22;0,00;0,00;
0,00;0,00;182,44;0,16;0,00;0,00;
0,00;0,00;182,60;0,16;0,00;0,00;
0,00;0,00;182,76;0,16;0,00;0,00;
0,00;0,00;182,92;0,16;0,00;0,00;
0,00;0,00;183,08;0,16;0,00;0,00;
0,00;0,00;183,24;0,16;0,00;0,00;
0,00;0,00;183,40;0,22;0,00;0,00;
0,00;0,00;183,56;0,16;0,00;0,00;
0,00;0,00;183,72;0,16;0,00;0,00;
0,00;0,00;183,88;0,16;0,00;0,00;
0,00;0,00;184,04;0,22;0,00;0,00;
0,00;0,00;184,20;0,16;0,00;0,00;
0,00;0,00;184,36;0,16;0,00;0,00;
0,00;0,00;184,52;0,16;0,00;0,00;
0,00;0,00;184,68;0,16;0,00;0,00;
0,00;0,00;184,84;0,16;0,00;0,00;
0,00;0,00;185,00;0,16;0,00;0,00;
0,00;0,00;185,16;0,16;0,00;0,00;
0,00;0,00;185,32;0,16;0,00;0,00;
0,00;0,00;185,48;0,16;0,00;0,00;
0,00;0,00;185,64;0,16;0,00;0,00;
0,00;0,00;185,80;0,16;0,00;0,00;
0,00;0,00;185,96;0,16;0,00;0,00;
0,00;0,00;186,12;0,16;0,00;0,00;
0,00;0,00;186,28;0,16;0,00;0,00;
0,00;0,00;186,44;0,16;0,00;0,00;
0,00;0,00;186,60;0,16;0,00;0,00;
0,00;0,00;186,76;0,16;0,00;0,00;
0,00;0,00;186,92;0,45;0,00;0,00;
0,00;0,00;187,08;0,69;0,00;0,00;
0,00;0,00;187,24;0,76;0,00;0,00;
0,00;0,00;187,40;0,76;0,00;0,00;
0,00;0,00;187,56;0,76;0,00;0,00;
0,00;0,00;187,72;0,76;0,00;0,00;
0,00;0,00;187,88;0,76;0,00;0,00;
0,00;0,00;188,04;0,76;0,00;0,00;
0,00;0,00;188,20;0,76;0,00;0,00;
0,00;0,00;188,36;0,76;0,00;0,00;
0,00;0,00;188,52;0,76;0,00;0,00;
0,00;0,00;188,68;0,76;0,00;0,00;
0,00;0,00;188,84;0,69;0,00;0,00;
0,00;0,00;189,00;0,76;0,00;0,00;
0,00;0,00;189,16;0,76;0,00;0,00;
0,00;0,00;189,32;0,76;0,00;0,00;
0,00;0,00;189,48;0,76;0,00;0,00;
0,00;0,00;189,64;0,76;0,00;0,00;
0,00;0,00;189,80;0,76;0,00;0,00;
0,00;0,00;189,96;0,76;0,00;0,00;
0,00;0,00;190,12;0,76;0,00;0,00;
0,00;0,00;190,28;0,76;0,00;0,00;
0,00;0,00;190,44;0,83;0,00;0,00;
0,00;0,00;190,60;0,98;0,00;0,00;
0,00;0,00;190,76;1,06;0,00;0,00;
0,00;0,00;190,92;1,06;0,00;0,00;
0,00;0,00;191,08;0,98;0,00;0,00;
0,00;0,00;191,24;1,06;0,00;0,00;
0,00;0,00;191,40;0,98;0,00;0,00;
0,00;0,00;191,56;1,06;0,00;0,00;
0,00;0,00;191,72;1,06;0,00;0,00;
0,00;0,00;191,88;1,06;0,00;0,00;
0,00;0,00;192,04;1,06;0,00;0,00;
0,00;0,00;192,20;1,06;0,00;0,00;
0,00;0,00;192,36;1,06;0,00;0,00;
0,00;0,00;192,52;1,06;0,00;0,00;
0,00;0,00;192,68;1,06;0,00;0,00;
0,00;0,00;192,84;1,06;0,00;0,00;
0,00;0,00;193,00;1,06;0,00;0,00;
0,00;0,00;193,16;1,06;0,00;0,00;
0,00;0,00;193,32;1,06;0,00;0,00;
0,00;0,00;193,48;1,14;0,00;0,00;
0,00;0,00;193,64;1,06;0,00;0,00;
0,00;0,00;193,80;1,14;0,00;0,00;
0,00;0,00;193,96;1,06;0,00;0,00;
0,00;0,00;194,12;1,06;0,00;0,00;
0,00;0,00;194,28;1,21;0,00;0,00;
0,00;0,00;194,44;1,14;0,00;0,00;
0,00;0,00;194,60;1,14;0,00;0,00;
0,00;0,00;194,76;1,14;0,00;0,00;
0,00;0,00;194,92;1,14;0,00;0,00;
0,00;0,00;195,08;1,21;0,00;0,00;
0,00;0,00;195,24;1,29;0,00;0,00;
0,00;0,00;195,40;1,21;0,00;0,00;
0,00;0,00;195,56;1,06;0,00;0,00;
0,00;0,00;195,72;1,29;0,00;0,00;
0,00;0,00;195,88;1,29;0,00;0,00;
0,00;0,00;196,04;1,29;0,00;0,00;
0,00;0,00;196,20;1,21;0,00;0,00;
0,00;0,00;196,36;1,14;0,00;0,00;
0,00;0,00;196,52;1,14;0,00;0,00;
