Nr;Date;ProgNr;ProgName;State;PartInfo;
13491;20.07.21 10:08:23;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210719154232P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,02;0,00;0,00;
0,00;0,00;0,26;0,20;0,00;0,00;
0,00;0,00;1,05;0,16;0,00;0,00;
0,00;0,00;2,33;0,16;0,00;0,00;
0,00;0,00;4,12;0,18;0,00;0,00;
0,00;0,00;6,42;0,23;0,00;0,00;
0,00;0,00;9,24;0,20;0,00;0,00;
0,00;0,00;12,40;0,14;0,00;0,00;
0,00;0,00;15,51;0,16;0,00;0,00;
0,00;0,00;18,75;0,07;0,00;0,00;
0,00;0,00;21,94;0,16;0,00;0,00;
0,00;0,00;25,14;0,13;0,00;0,00;
0,00;0,00;28,35;0,11;0,00;0,00;
0,00;0,00;31,55;0,14;0,00;0,00;
0,00;0,00;34,75;0,09;0,00;0,00;
0,00;0,00;37,95;0,11;0,00;0,00;
0,00;0,00;41,15;0,18;0,00;0,00;
0,00;0,00;44,35;0,11;0,00;0,00;
0,00;0,00;47,55;0,14;0,00;0,00;
0,00;0,00;50,75;0,14;0,00;0,00;
0,00;0,00;53,95;0,14;0,00;0,00;
0,00;0,00;57,15;0,20;0,00;0,00;
0,00;0,00;60,35;0,05;0,00;0,00;
0,00;0,00;63,55;0,16;0,00;0,00;
0,00;0,00;66,75;0,11;0,00;0,00;
0,00;0,00;69,95;0,11;0,00;0,00;
0,00;0,00;73,15;0,18;0,00;0,00;
0,00;0,00;76,35;0,09;0,00;0,00;
0,00;0,00;79,55;0,11;0,00;0,00;
0,00;0,00;82,75;0,11;0,00;0,00;
0,00;0,00;85,95;0,14;0,00;0,00;
0,00;0,00;89,15;0,16;0,00;0,00;
0,00;0,00;92,35;0,07;0,00;0,00;
0,00;0,00;95,55;0,11;0,00;0,00;
0,00;0,00;98,75;0,11;0,00;0,00;
0,00;0,00;101,95;0,11;0,00;0,00;
0,00;0,00;105,15;0,20;0,00;0,00;
0,00;0,00;108,35;0,09;0,00;0,00;
0,00;0,00;111,55;0,09;0,00;0,00;
0,00;0,00;114,75;0,11;0,00;0,00;
0,00;0,00;117,95;0,14;0,00;0,00;
0,00;0,00;121,15;0,16;0,00;0,00;
0,00;0,00;124,35;0,07;0,00;0,00;
0,00;0,00;127,55;0,16;0,00;0,00;
0,00;0,00;130,75;0,09;0,00;0,00;
0,00;0,00;133,95;0,14;0,00;0,00;
0,00;0,00;137,15;0,18;0,00;0,00;
0,00;0,00;140,35;0,11;0,00;0,00;
0,00;0,00;143,55;0,11;0,00;0,00;
0,00;0,00;146,75;0,11;0,00;0,00;
0,00;0,00;149,95;0,09;0,00;0,00;
0,00;0,00;153,15;0,20;0,00;0,00;
0,00;0,00;155,97;0,05;0,00;0,00;
0,00;0,00;158,33;0,02;0,00;0,00;
0,00;0,00;160,22;0,07;0,00;0,00;
0,00;0,00;162,45;0,07;0,00;0,00;
0,00;0,00;162,82;0,05;0,00;0,00;
0,00;0,00;162,90;0,09;0,00;0,00;
0,00;0,00;162,92;0,09;0,00;0,00;
0,00;0,00;162,92;0,16;0,00;0,00;
0,00;0,00;163,08;0,05;0,00;0,00;
0,00;0,00;163,22;0,09;0,00;0,00;
0,00;0,00;163,39;0,09;0,00;0,00;
0,00;0,00;163,55;0,11;0,00;0,00;
0,00;0,00;163,71;0,11;0,00;0,00;
0,00;0,00;163,87;0,27;0,00;0,00;
0,00;0,00;164,03;0,27;0,00;0,00;
0,00;0,00;164,19;0,40;0,00;0,00;
0,00;0,00;164,35;0,52;0,00;0,00;
0,00;0,00;164,51;0,61;0,00;0,00;
0,00;0,00;164,67;0,70;0,00;0,00;
0,00;0,00;164,83;0,77;0,00;0,00;
0,00;0,00;164,99;0,84;0,00;0,00;
0,00;0,00;165,15;0,91;0,00;0,00;
0,00;0,00;165,31;0,95;0,00;0,00;
0,00;0,00;165,47;1,00;0,00;0,00;
0,00;0,00;165,63;1,09;0,00;0,00;
0,00;0,00;165,79;1,18;0,00;0,00;
0,00;0,00;165,95;1,20;0,00;0,00;
0,00;0,00;166,11;1,27;0,00;0,00;
0,00;0,00;166,27;1,31;0,00;0,00;
0,00;0,00;166,43;1,36;0,00;0,00;
0,00;0,00;166,59;1,45;0,00;0,00;
0,00;0,00;166,75;1,47;0,00;0,00;
0,00;0,00;166,91;1,54;0,00;0,00;
0,00;0,00;167,07;1,60;0,00;0,00;
0,00;0,00;167,23;1,60;0,00;0,00;
0,00;0,00;167,25;1,54;0,00;0,00;
0,00;0,00;167,26;1,54;0,00;0,00;
0,00;0,00;167,20;0,66;0,00;0,00;
0,00;0,00;166,66;-0,23;0,00;0,00;
0,00;0,00;165,64;-0,05;0,00;0,00;
0,00;0,00;164,10;-0,05;0,00;0,00;
0,00;0,00;162,06;-0,13;0,00;0,00;
0,00;0,00;159,49;-0,13;0,00;0,00;
0,00;0,00;156,44;-0,13;0,00;0,00;
0,00;0,00;153,31;-0,05;0,00;0,00;
0,00;0,00;146,91;-0,05;0,00;0,00;
0,00;0,00;143,71;-0,11;0,00;0,00;
0,00;0,00;140,50;-0,05;0,00;0,00;
0,00;0,00;137,30;-0,05;0,00;0,00;
0,00;0,00;134,11;-0,02;0,00;0,00;
0,00;0,00;130,91;-0,07;0,00;0,00;
0,00;0,00;127,70;-0,09;0,00;0,00;
0,00;0,00;124,50;-0,02;0,00;0,00;
0,00;0,00;121,30;-0,05;0,00;0,00;
0,00;0,00;118,10;-0,02;0,00;0,00;
0,00;0,00;114,90;-0,07;0,00;0,00;
0,00;0,00;111,70;-0,05;0,00;0,00;
0,00;0,00;108,50;-0,02;0,00;0,00;
0,00;0,00;105,30;-0,07;0,00;0,00;
0,00;0,00;102,10;-0,02;0,00;0,00;
0,00;0,00;98,90;-0,05;0,00;0,00;
0,00;0,00;95,70;-0,07;0,00;0,00;
0,00;0,00;89,30;-0,05;0,00;0,00;
0,00;0,00;82,90;-0,09;0,00;0,00;
0,00;0,00;79,70;-0,09;0,00;0,00;
0,00;0,00;76,50;-0,02;0,00;0,00;
0,00;0,00;73,30;-0,07;0,00;0,00;
0,00;0,00;70,11;-0,07;0,00;0,00;
0,00;0,00;66,90;-0,07;0,00;0,00;
0,00;0,00;63,70;-0,07;0,00;0,00;
