58353;02.09.21 08:27:52;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210901130840A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,05;0,37;0,00;0,00;
0,00;0,00;74,51;0,30;0,00;0,00;
0,00;0,00;75,28;0,30;0,00;0,00;
0,00;0,00;76,43;0,45;0,00;0,00;
0,00;0,00;77,98;0,37;0,00;0,00;
0,00;0,00;79,90;0,37;0,00;0,00;
0,00;0,00;82,20;0,23;0,00;0,00;
0,00;0,00;84,54;0,30;0,00;0,00;
0,00;0,00;86,93;0,23;0,00;0,00;
0,00;0,00;89,34;0,30;0,00;0,00;
0,00;0,00;91,74;0,23;0,00;0,00;
0,00;0,00;94,15;0,23;0,00;0,00;
0,00;0,00;96,54;0,23;0,00;0,00;
0,00;0,00;98,95;0,30;0,00;0,00;
0,00;0,00;101,35;0,30;0,00;0,00;
0,00;0,00;103,75;0,23;0,00;0,00;
0,00;0,00;106,15;0,23;0,00;0,00;
0,00;0,00;108,54;0,23;0,00;0,00;
0,00;0,00;110,95;0,23;0,00;0,00;
0,00;0,00;113,35;0,23;0,00;0,00;
0,00;0,00;115,75;0,23;0,00;0,00;
0,00;0,00;118,15;0,16;0,00;0,00;
0,00;0,00;120,54;0,23;0,00;0,00;
0,00;0,00;122,95;0,23;0,00;0,00;
0,00;0,00;125,35;0,16;0,00;0,00;
0,00;0,00;127,75;0,23;0,00;0,00;
0,00;0,00;130,15;0,16;0,00;0,00;
0,00;0,00;132,54;0,23;0,00;0,00;
0,00;0,00;134,95;0,30;0,00;0,00;
0,00;0,00;137,35;0,23;0,00;0,00;
0,00;0,00;139,74;0,23;0,00;0,00;
0,00;0,00;142,15;0,23;0,00;0,00;
0,00;0,00;144,55;0,23;0,00;0,00;
0,00;0,00;146,95;0,23;0,00;0,00;
0,00;0,00;149,35;0,23;0,00;0,00;
0,00;0,00;151,75;0,30;0,00;0,00;
0,00;0,00;154,15;0,23;0,00;0,00;
0,00;0,00;156,54;0,16;0,00;0,00;
0,00;0,00;158,95;0,23;0,00;0,00;
0,00;0,00;161,35;0,23;0,00;0,00;
0,00;0,00;163,75;0,23;0,00;0,00;
0,00;0,00;166,15;0,23;0,00;0,00;
0,00;0,00;168,55;0,23;0,00;0,00;
0,00;0,00;170,85;0,08;0,00;0,00;
0,00;0,00;172,76;0,16;0,00;0,00;
0,00;0,00;174,38;0,16;0,00;0,00;
0,00;0,00;175,62;0,08;0,00;0,00;
0,00;0,00;176,48;0,23;0,00;0,00;
0,00;0,00;176,97;0,16;0,00;0,00;
0,00;0,00;177,11;0,16;0,00;0,00;
0,00;0,00;177,17;0,23;0,00;0,00;
0,00;0,00;177,17;0,23;0,00;0,00;
0,00;0,00;177,34;0,16;0,00;0,00;
0,00;0,00;177,47;0,16;0,00;0,00;
0,00;0,00;177,64;0,16;0,00;0,00;
0,00;0,00;177,80;0,16;0,00;0,00;
0,00;0,00;177,96;0,23;0,00;0,00;
0,00;0,00;178,12;0,23;0,00;0,00;
0,00;0,00;178,28;0,08;0,00;0,00;
