41132;19.05.21 14:14:17;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210519083700A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,66;0,16;0,00;0,00;
0,00;0,00;74,11;0,08;0,00;0,00;
0,00;0,00;74,88;0,16;0,00;0,00;
0,00;0,00;76,03;0,22;0,00;0,00;
0,00;0,00;77,57;0,16;0,00;0,00;
0,00;0,00;79,50;0,22;0,00;0,00;
0,00;0,00;81,80;0,22;0,00;0,00;
0,00;0,00;84,14;0,16;0,00;0,00;
0,00;0,00;86,53;0,23;0,00;0,00;
0,00;0,00;88,94;0,31;0,00;0,00;
0,00;0,00;91,34;0,31;0,00;0,00;
0,00;0,00;93,74;0,30;0,00;0,00;
0,00;0,00;96,15;0,31;0,00;0,00;
0,00;0,00;98,54;0,31;0,00;0,00;
0,00;0,00;100,95;0,23;0,00;0,00;
0,00;0,00;103,35;0,23;0,00;0,00;
0,00;0,00;105,75;0,31;0,00;0,00;
0,00;0,00;108,15;0,23;0,00;0,00;
0,00;0,00;110,55;0,31;0,00;0,00;
0,00;0,00;112,95;0,31;0,00;0,00;
0,00;0,00;115,35;0,31;0,00;0,00;
0,00;0,00;117,75;0,16;0,00;0,00;
0,00;0,00;120,15;0,16;0,00;0,00;
0,00;0,00;122,54;0,23;0,00;0,00;
0,00;0,00;124,95;0,23;0,00;0,00;
0,00;0,00;127,35;0,31;0,00;0,00;
0,00;0,00;129,75;0,16;0,00;0,00;
0,00;0,00;132,15;0,16;0,00;0,00;
0,00;0,00;134,54;0,23;0,00;0,00;
0,00;0,00;136,95;0,23;0,00;0,00;
0,00;0,00;139,35;0,23;0,00;0,00;
0,00;0,00;141,75;0,23;0,00;0,00;
0,00;0,00;144,15;0,08;0,00;0,00;
0,00;0,00;146,55;0,23;0,00;0,00;
0,00;0,00;148,95;0,16;0,00;0,00;
0,00;0,00;151,35;0,16;0,00;0,00;
0,00;0,00;153,75;0,08;0,00;0,00;
0,00;0,00;156,15;0,08;0,00;0,00;
0,00;0,00;160,94;0,08;0,00;0,00;
0,00;0,00;162,97;0,16;0,00;0,00;
0,00;0,00;164,68;0,08;0,00;0,00;
0,00;0,00;167,56;-0,08;0,00;0,00;
0,00;0,00;167,99;-0,08;0,00;0,00;
0,00;0,00;169,89;0,08;0,00;0,00;
0,00;0,00;172,13;0,08;0,00;0,00;
