Nr;Date;ProgNr;ProgName;State;PartInfo;
2834;17.09.20 08:06:41;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200916160507A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;-0,10;-0,02;0,00;0,00;
0,00;0,00;-0,04;0,20;0,00;0,00;
0,00;0,00;0,50;0,13;0,00;0,00;
0,00;0,00;1,52;0,20;0,00;0,00;
0,00;0,00;3,05;0,27;0,00;0,00;
0,00;0,00;5,09;0,13;0,00;0,00;
0,00;0,00;7,66;0,16;0,00;0,00;
0,00;0,00;10,70;0,22;0,00;0,00;
0,00;0,00;13,84;0,13;0,00;0,00;
0,00;0,00;17,00;0,16;0,00;0,00;
0,00;0,00;20,27;0,09;0,00;0,00;
0,00;0,00;23,43;0,09;0,00;0,00;
0,00;0,00;26,64;0,13;0,00;0,00;
0,00;0,00;29,84;0,13;0,00;0,00;
0,00;0,00;33,05;0,16;0,00;0,00;
0,00;0,00;36,25;0,16;0,00;0,00;
0,00;0,00;39,45;0,09;0,00;0,00;
0,00;0,00;42,65;0,18;0,00;0,00;
0,00;0,00;45,84;0,09;0,00;0,00;
0,00;0,00;49,05;0,18;0,00;0,00;
0,00;0,00;52,25;0,11;0,00;0,00;
0,00;0,00;55,45;0,09;0,00;0,00;
0,00;0,00;58,65;0,16;0,00;0,00;
0,00;0,00;61,85;0,13;0,00;0,00;
0,00;0,00;65,05;0,20;0,00;0,00;
0,00;0,00;68,25;0,16;0,00;0,00;
0,00;0,00;71,45;0,09;0,00;0,00;
0,00;0,00;74,65;0,13;0,00;0,00;
0,00;0,00;77,85;0,11;0,00;0,00;
0,00;0,00;81,05;0,16;0,00;0,00;
0,00;0,00;84,25;0,13;0,00;0,00;
0,00;0,00;87,45;0,13;0,00;0,00;
0,00;0,00;90,65;0,16;0,00;0,00;
0,00;0,00;93,85;0,13;0,00;0,00;
0,00;0,00;97,05;0,16;0,00;0,00;
0,00;0,00;100,25;0,16;0,00;0,00;
0,00;0,00;103,45;0,09;0,00;0,00;
0,00;0,00;106,65;0,13;0,00;0,00;
0,00;0,00;109,85;0,09;0,00;0,00;
0,00;0,00;113,05;0,20;0,00;0,00;
0,00;0,00;116,25;0,16;0,00;0,00;
0,00;0,00;119,45;0,09;0,00;0,00;
0,00;0,00;122,65;0,13;0,00;0,00;
0,00;0,00;125,85;0,09;0,00;0,00;
0,00;0,00;129,05;0,16;0,00;0,00;
0,00;0,00;132,25;0,13;0,00;0,00;
0,00;0,00;135,45;0,09;0,00;0,00;
0,00;0,00;138,65;0,16;0,00;0,00;
0,00;0,00;141,85;0,11;0,00;0,00;
0,00;0,00;145,05;0,16;0,00;0,00;
0,00;0,00;148,25;0,16;0,00;0,00;
0,00;0,00;151,22;0,02;0,00;0,00;
0,00;0,00;153,69;0,04;0,00;0,00;
0,00;0,00;155,71;0,06;0,00;0,00;
0,00;0,00;157,24;0,06;0,00;0,00;
0,00;0,00;158,25;0,02;0,00;0,00;
0,00;0,00;158,88;0,06;0,00;0,00;
0,00;0,00;158,92;0,05;0,00;0,00;
0,00;0,00;158,98;0,13;0,00;0,00;
0,00;0,00;159,12;0,11;0,00;0,00;
0,00;0,00;159,27;0,06;0,00;0,00;
0,00;0,00;159,43;0,06;0,00;0,00;
0,00;0,00;159,59;0,13;0,00;0,00;
0,00;0,00;159,75;0,09;0,00;0,00;
0,00;0,00;159,91;0,06;0,00;0,00;
0,00;0,00;160,07;0,09;0,00;0,00;
0,00;0,00;160,23;0,09;0,00;0,00;
0,00;0,00;160,39;0,09;0,00;0,00;
0,00;0,00;160,55;0,18;0,00;0,00;
0,00;0,00;160,71;0,24;0,00;0,00;
0,00;0,00;160,87;0,23;0,00;0,00;
0,00;0,00;161,03;0,34;0,00;0,00;
0,00;0,00;161,19;0,43;0,00;0,00;
0,00;0,00;161,35;0,50;0,00;0,00;
0,00;0,00;161,51;0,58;0,00;0,00;
0,00;0,00;161,67;0,63;0,00;0,00;
0,00;0,00;161,83;0,68;0,00;0,00;
0,00;0,00;161,99;0,77;0,00;0,00;
0,00;0,00;162,15;0,83;0,00;0,00;
0,00;0,00;162,31;0,86;0,00;0,00;
0,00;0,00;162,47;0,95;0,00;0,00;
0,00;0,00;162,63;0,97;0,00;0,00;
0,00;0,00;162,79;1,04;0,00;0,00;
0,00;0,00;162,95;1,13;0,00;0,00;
0,00;0,00;163,11;1,15;0,00;0,00;
0,00;0,00;163,27;1,22;0,00;0,00;
0,00;0,00;163,43;1,24;0,00;0,00;
0,00;0,00;163,59;1,31;0,00;0,00;
0,00;0,00;163,75;1,40;0,00;0,00;
0,00;0,00;163,90;1,40;0,00;0,00;
0,00;0,00;163,91;1,33;0,00;0,00;
0,00;0,00;163,90;1,13;0,00;0,00;
0,00;0,00;163,49;-0,00;0,00;0,00;
0,00;0,00;162,59;-0,11;0,00;0,00;
0,00;0,00;161,32;0,11;0,00;0,00;
0,00;0,00;160,51;-0,05;0,00;0,00;
0,00;0,00;160,05;-0,05;0,00;0,00;
0,00;0,00;159,93;-0,02;0,00;0,00;
0,00;0,00;159,89;0,02;0,00;0,00;
0,00;0,00;159,98;0,06;0,00;0,00;
