18155;18.01.21 11:00:59;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210118104617P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,16;0,00;0,00;
0,00;0,00;0,51;0,31;0,00;0,00;
0,00;0,00;1,28;0,37;0,00;0,00;
0,00;0,00;2,43;0,45;0,00;0,00;
0,00;0,00;3,98;0,45;0,00;0,00;
0,00;0,00;5,90;0,30;0,00;0,00;
0,00;0,00;8,20;0,30;0,00;0,00;
0,00;0,00;10,53;0,30;0,00;0,00;
0,00;0,00;12,93;0,31;0,00;0,00;
0,00;0,00;15,34;0,37;0,00;0,00;
0,00;0,00;17,74;0,37;0,00;0,00;
0,00;0,00;20,15;0,31;0,00;0,00;
0,00;0,00;22,54;0,31;0,00;0,00;
0,00;0,00;24,95;0,30;0,00;0,00;
0,00;0,00;27,35;0,37;0,00;0,00;
0,00;0,00;29,74;0,31;0,00;0,00;
0,00;0,00;32,15;0,31;0,00;0,00;
0,00;0,00;34,55;0,23;0,00;0,00;
0,00;0,00;36,95;0,23;0,00;0,00;
0,00;0,00;39,35;0,37;0,00;0,00;
0,00;0,00;41,75;0,23;0,00;0,00;
0,00;0,00;44,15;0,31;0,00;0,00;
0,00;0,00;46,54;0,23;0,00;0,00;
0,00;0,00;48,95;0,37;0,00;0,00;
0,00;0,00;51,35;0,31;0,00;0,00;
0,00;0,00;53,75;0,23;0,00;0,00;
0,00;0,00;56,15;0,23;0,00;0,00;
0,00;0,00;58,55;0,16;0,00;0,00;
0,00;0,00;60,95;0,23;0,00;0,00;
0,00;0,00;63,35;0,23;0,00;0,00;
0,00;0,00;65,74;0,23;0,00;0,00;
0,00;0,00;68,15;0,16;0,00;0,00;
0,00;0,00;70,55;0,23;0,00;0,00;
0,00;0,00;72,95;0,23;0,00;0,00;
0,00;0,00;75,35;0,31;0,00;0,00;
0,00;0,00;77,75;0,31;0,00;0,00;
0,00;0,00;80,15;0,23;0,00;0,00;
0,00;0,00;82,54;0,23;0,00;0,00;
0,00;0,00;84,95;0,23;0,00;0,00;
0,00;0,00;87,35;0,37;0,00;0,00;
0,00;0,00;89,75;0,31;0,00;0,00;
0,00;0,00;92,15;0,31;0,00;0,00;
0,00;0,00;94,55;0,16;0,00;0,00;
0,00;0,00;96,95;0,23;0,00;0,00;
0,00;0,00;99,35;0,31;0,00;0,00;
0,00;0,00;101,75;0,30;0,00;0,00;
0,00;0,00;104,15;0,16;0,00;0,00;
0,00;0,00;106,54;0,31;0,00;0,00;
0,00;0,00;108,95;0,23;0,00;0,00;
0,00;0,00;111,35;0,31;0,00;0,00;
0,00;0,00;113,75;0,23;0,00;0,00;
0,00;0,00;116,15;0,23;0,00;0,00;
0,00;0,00;118,54;0,23;0,00;0,00;
0,00;0,00;120,95;0,23;0,00;0,00;
0,00;0,00;123,35;0,31;0,00;0,00;
0,00;0,00;125,75;0,23;0,00;0,00;
0,00;0,00;128,15;0,23;0,00;0,00;
0,00;0,00;130,55;0,16;0,00;0,00;
0,00;0,00;132,95;0,23;0,00;0,00;
0,00;0,00;135,35;0,31;0,00;0,00;
0,00;0,00;137,74;0,23;0,00;0,00;
0,00;0,00;140,15;0,23;0,00;0,00;
0,00;0,00;142,54;0,23;0,00;0,00;
0,00;0,00;144,95;0,16;0,00;0,00;
0,00;0,00;147,35;0,31;0,00;0,00;
0,00;0,00;149,75;0,23;0,00;0,00;
0,00;0,00;152,15;0,23;0,00;0,00;
0,00;0,00;154,55;0,23;0,00;0,00;
0,00;0,00;156,94;0,23;0,00;0,00;
0,00;0,00;158,97;0,16;0,00;0,00;
0,00;0,00;160,68;0,16;0,00;0,00;
0,00;0,00;162,04;0,08;0,00;0,00;
0,00;0,00;162,99;0,16;0,00;0,00;
0,00;0,00;163,56;0,08;0,00;0,00;
0,00;0,00;163,75;0,08;0,00;0,00;
0,00;0,00;163,82;0,16;0,00;0,00;
0,00;0,00;163,99;0,16;0,00;0,00;
0,00;0,00;164,12;0,23;0,00;0,00;
0,00;0,00;164,29;0,23;0,00;0,00;
0,00;0,00;164,45;0,31;0,00;0,00;
0,00;0,00;164,61;3,04;0,00;0,00;
0,00;0,00;164,76;5,48;0,00;0,00;
0,00;0,00;164,92;6,40;0,00;0,00;
0,00;0,00;165,08;6,85;0,00;0,00;
0,00;0,00;165,24;7,07;0,00;0,00;
0,00;0,00;165,41;7,01;0,00;0,00;
0,00;0,00;165,57;6,78;0,00;0,00;
0,00;0,00;165,73;6,25;0,00;0,00;
0,00;0,00;165,89;5,79;0,00;0,00;
0,00;0,00;166,05;5,64;0,00;0,00;
0,00;0,00;166,21;5,48;0,00;0,00;
0,00;0,00;166,37;5,48;0,00;0,00;
0,00;0,00;166,53;5,33;0,00;0,00;
0,00;0,00;166,69;5,48;0,00;0,00;
0,00;0,00;166,85;5,33;0,00;0,00;
0,00;0,00;167,01;5,33;0,00;0,00;
0,00;0,00;167,17;5,17;0,00;0,00;
0,00;0,00;167,33;5,48;0,00;0,00;
0,00;0,00;167,49;5,48;0,00;0,00;
0,00;0,00;167,65;5,72;0,00;0,00;
0,00;0,00;167,81;5,79;0,00;0,00;
0,00;0,00;167,97;5,93;0,00;0,00;
0,00;0,00;168,13;6,09;0,00;0,00;
0,00;0,00;168,29;6,32;0,00;0,00;
0,00;0,00;168,45;6,40;0,00;0,00;
0,00;0,00;168,61;6,70;0,00;0,00;
0,00;0,00;168,77;6,70;0,00;0,00;
0,00;0,00;168,93;6,78;0,00;0,00;
0,00;0,00;169,09;6,93;0,00;0,00;
0,00;0,00;169,25;7,07;0,00;0,00;
0,00;0,00;169,41;7,30;0,00;0,00;
0,00;0,00;169,57;7,30;0,00;0,00;
0,00;0,00;169,73;7,62;0,00;0,00;
0,00;0,00;169,89;7,62;0,00;0,00;
0,00;0,00;170,05;7,83;0,00;0,00;
0,00;0,00;170,21;7,91;0,00;0,00;
0,00;0,00;170,37;7,91;0,00;0,00;
0,00;0,00;170,53;8,07;0,00;0,00;
0,00;0,00;170,69;8,22;0,00;0,00;
0,00;0,00;170,80;7,68;0,00;0,00;
0,00;0,00;170,80;7,01;0,00;0,00;
0,00;0,00;170,74;4,64;0,00;0,00;
0,00;0,00;170,31;-0,16;0,00;0,00;
0,00;0,00;169,53;-0,16;0,00;0,00;
0,00;0,00;167,63;-0,08;0,00;0,00;
0,00;0,00;167,09;-0,08;0,00;0,00;
0,00;0,00;166,85;0,16;0,00;0,00;
0,00;0,00;167,02;0,31;0,00;0,00;
0,00;0,00;167,16;0,31;0,00;0,00;
0,00;0,00;167,32;0,31;0,00;0,00;
0,00;0,00;167,49;0,31;0,00;0,00;
0,00;0,00;167,65;0,31;0,00;0,00;
0,00;0,00;167,81;0,31;0,00;0,00;
0,00;0,00;167,97;0,23;0,00;0,00;
0,00;0,00;168,13;0,31;0,00;0,00;
0,00;0,00;168,29;0,31;0,00;0,00;
0,00;0,00;168,45;0,23;0,00;0,00;
0,00;0,00;168,61;0,31;0,00;0,00;
0,00;0,00;168,77;0,31;0,00;0,00;
0,00;0,00;168,93;0,31;0,00;0,00;
0,00;0,00;169,09;0,16;0,00;0,00;
0,00;0,00;169,25;0,23;0,00;0,00;
0,00;0,00;169,41;0,31;0,00;0,00;
0,00;0,00;169,57;0,31;0,00;0,00;
0,00;0,00;169,73;0,31;0,00;0,00;
0,00;0,00;169,89;0,31;0,00;0,00;
0,00;0,00;170,05;0,31;0,00;0,00;
0,00;0,00;170,21;0,31;0,00;0,00;
0,00;0,00;170,37;0,31;0,00;0,00;
0,00;0,00;170,53;0,31;0,00;0,00;
0,00;0,00;170,69;0,69;0,00;0,00;
0,00;0,00;170,84;8,22;0,00;0,00;
0,00;0,00;170,99;8,54;0,00;0,00;
0,00;0,00;171,16;8,68;0,00;0,00;
0,00;0,00;171,32;8,83;0,00;0,00;
0,00;0,00;171,48;8,83;0,00;0,00;
0,00;0,00;171,65;8,91;0,00;0,00;
0,00;0,00;171,81;9,14;0,00;0,00;
0,00;0,00;171,97;9,14;0,00;0,00;
0,00;0,00;172,13;9,28;0,00;0,00;
0,00;0,00;172,29;9,28;0,00;0,00;
0,00;0,00;172,45;9,44;0,00;0,00;
0,00;0,00;172,61;9,44;0,00;0,00;
