45576;14.06.21 09:00:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210611161608P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,86;0,23;0,00;0,00;
0,00;0,00;75,31;0,31;0,00;0,00;
0,00;0,00;76,08;0,22;0,00;0,00;
0,00;0,00;77,23;0,37;0,00;0,00;
0,00;0,00;78,78;0,22;0,00;0,00;
0,00;0,00;80,70;0,30;0,00;0,00;
0,00;0,00;83,00;0,30;0,00;0,00;
0,00;0,00;85,34;0,37;0,00;0,00;
0,00;0,00;87,73;0,31;0,00;0,00;
0,00;0,00;90,14;0,23;0,00;0,00;
0,00;0,00;92,54;0,31;0,00;0,00;
0,00;0,00;94,94;0,31;0,00;0,00;
0,00;0,00;97,35;0,31;0,00;0,00;
0,00;0,00;99,74;0,23;0,00;0,00;
0,00;0,00;102,15;0,23;0,00;0,00;
0,00;0,00;104,54;0,31;0,00;0,00;
0,00;0,00;106,95;0,31;0,00;0,00;
0,00;0,00;109,35;0,31;0,00;0,00;
0,00;0,00;111,75;0,31;0,00;0,00;
0,00;0,00;114,15;0,23;0,00;0,00;
0,00;0,00;116,54;0,31;0,00;0,00;
0,00;0,00;118,95;0,23;0,00;0,00;
0,00;0,00;121,35;0,31;0,00;0,00;
0,00;0,00;123,75;0,23;0,00;0,00;
0,00;0,00;126,15;0,16;0,00;0,00;
0,00;0,00;128,55;0,23;0,00;0,00;
0,00;0,00;130,95;0,31;0,00;0,00;
0,00;0,00;133,35;0,31;0,00;0,00;
0,00;0,00;135,74;0,23;0,00;0,00;
0,00;0,00;138,15;0,23;0,00;0,00;
0,00;0,00;140,54;0,16;0,00;0,00;
0,00;0,00;142,95;0,23;0,00;0,00;
0,00;0,00;145,35;0,31;0,00;0,00;
0,00;0,00;147,75;0,23;0,00;0,00;
0,00;0,00;150,15;0,16;0,00;0,00;
0,00;0,00;152,54;0,23;0,00;0,00;
0,00;0,00;154,95;0,16;0,00;0,00;
0,00;0,00;157,04;0,16;0,00;0,00;
0,00;0,00;158,82;0,16;0,00;0,00;
0,00;0,00;160,25;0,16;0,00;0,00;
0,00;0,00;161,30;0,08;0,00;0,00;
0,00;0,00;161,97;0,08;0,00;0,00;
0,00;0,00;162,35;0,08;0,00;0,00;
0,00;0,00;162,47;0,08;0,00;0,00;
0,00;0,00;162,60;0,16;0,00;0,00;
0,00;0,00;162,75;0,31;0,00;0,00;
0,00;0,00;162,92;0,23;0,00;0,00;
0,00;0,00;163,08;0,23;0,00;0,00;
0,00;0,00;163,24;0,08;0,00;0,00;
0,00;0,00;163,40;0,16;0,00;0,00;
0,00;0,00;163,56;0,16;0,00;0,00;
0,00;0,00;163,72;0,16;0,00;0,00;
0,00;0,00;163,88;0,23;0,00;0,00;
0,00;0,00;164,04;0,31;0,00;0,00;
0,00;0,00;164,20;0,23;0,00;0,00;
0,00;0,00;164,35;0,16;0,00;0,00;
0,00;0,00;164,35;0,31;0,00;0,00;
0,00;0,00;164,34;0,08;0,00;0,00;
0,00;0,00;163,45;-0,08;0,00;0,00;
0,00;0,00;163,50;0,16;0,00;0,00;
0,00;0,00;163,63;0,31;0,00;0,00;
0,00;0,00;163,79;0,31;0,00;0,00;
0,00;0,00;163,96;0,23;0,00;0,00;
0,00;0,00;164,12;0,31;0,00;0,00;
0,00;0,00;164,28;0,23;0,00;0,00;
0,00;0,00;164,44;0,23;0,00;0,00;
0,00;0,00;164,60;0,53;0,00;0,00;
0,00;0,00;164,75;3,27;0,00;0,00;
0,00;0,00;164,91;5,33;0,00;0,00;
0,00;0,00;165,07;6,54;0,00;0,00;
0,00;0,00;165,23;7,01;0,00;0,00;
0,00;0,00;165,39;7,15;0,00;0,00;
0,00;0,00;165,56;7,30;0,00;0,00;
0,00;0,00;165,72;7,30;0,00;0,00;
0,00;0,00;165,88;7,23;0,00;0,00;
0,00;0,00;166,04;7,23;0,00;0,00;
0,00;0,00;166,20;7,23;0,00;0,00;
0,00;0,00;166,36;7,30;0,00;0,00;
0,00;0,00;166,52;7,30;0,00;0,00;
0,00;0,00;166,68;7,30;0,00;0,00;
0,00;0,00;166,84;7,30;0,00;0,00;
0,00;0,00;167,00;7,30;0,00;0,00;
0,00;0,00;167,16;7,38;0,00;0,00;
0,00;0,00;167,32;7,62;0,00;0,00;
0,00;0,00;167,48;7,62;0,00;0,00;
0,00;0,00;167,64;7,83;0,00;0,00;
0,00;0,00;167,80;7,91;0,00;0,00;
0,00;0,00;167,96;7,91;0,00;0,00;
0,00;0,00;168,12;8,15;0,00;0,00;
0,00;0,00;168,28;8,15;0,00;0,00;
0,00;0,00;168,44;8,22;0,00;0,00;
0,00;0,00;168,60;8,29;0,00;0,00;
0,00;0,00;168,76;8,29;0,00;0,00;
0,00;0,00;168,92;8,44;0,00;0,00;
0,00;0,00;169,08;8,52;0,00;0,00;
0,00;0,00;169,24;8,83;0,00;0,00;
0,00;0,00;169,40;9,05;0,00;0,00;
0,00;0,00;169,56;9,28;0,00;0,00;
0,00;0,00;169,72;9,44;0,00;0,00;
0,00;0,00;169,88;9,75;0,00;0,00;
0,00;0,00;170,04;10,05;0,00;0,00;
0,00;0,00;170,20;10,28;0,00;0,00;
