Nr;Date;ProgNr;ProgName;State;PartInfo;
40603;23.03.21 14:45:43;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210323094638P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,96;0,24;0,00;0,00;
0,00;0,00;2,50;0,20;0,00;0,00;
0,00;0,00;3,53;0,22;0,00;0,00;
0,00;0,00;5,06;0,22;0,00;0,00;
0,00;0,00;7,11;0,20;0,00;0,00;
0,00;0,00;9,67;0,27;0,00;0,00;
0,00;0,00;12,73;0,24;0,00;0,00;
0,00;0,00;15,85;0,22;0,00;0,00;
0,00;0,00;19,03;0,20;0,00;0,00;
0,00;0,00;22,24;0,18;0,00;0,00;
0,00;0,00;25,44;0,13;0,00;0,00;
0,00;0,00;28,64;0,18;0,00;0,00;
0,00;0,00;31,85;0,16;0,00;0,00;
0,00;0,00;35,05;0,15;0,00;0,00;
0,00;0,00;38,25;0,16;0,00;0,00;
0,00;0,00;41,44;0,16;0,00;0,00;
0,00;0,00;44,65;0,20;0,00;0,00;
0,00;0,00;47,85;0,16;0,00;0,00;
0,00;0,00;51,05;0,20;0,00;0,00;
0,00;0,00;54,25;0,20;0,00;0,00;
0,00;0,00;57,45;0,18;0,00;0,00;
0,00;0,00;60,64;0,20;0,00;0,00;
0,00;0,00;63,85;0,18;0,00;0,00;
0,00;0,00;67,05;0,22;0,00;0,00;
0,00;0,00;70,25;0,20;0,00;0,00;
0,00;0,00;73,44;0,20;0,00;0,00;
0,00;0,00;76,65;0,22;0,00;0,00;
0,00;0,00;79,85;0,16;0,00;0,00;
0,00;0,00;83,05;0,18;0,00;0,00;
0,00;0,00;86,25;0,18;0,00;0,00;
0,00;0,00;89,45;0,16;0,00;0,00;
0,00;0,00;92,64;0,20;0,00;0,00;
0,00;0,00;95,85;0,16;0,00;0,00;
0,00;0,00;99,05;0,18;0,00;0,00;
0,00;0,00;102,25;0,13;0,00;0,00;
0,00;0,00;105,45;0,15;0,00;0,00;
0,00;0,00;108,65;0,16;0,00;0,00;
0,00;0,00;111,85;0,16;0,00;0,00;
0,00;0,00;115,05;0,16;0,00;0,00;
0,00;0,00;118,25;0,16;0,00;0,00;
0,00;0,00;121,45;0,13;0,00;0,00;
0,00;0,00;124,64;0,20;0,00;0,00;
0,00;0,00;127,85;0,13;0,00;0,00;
0,00;0,00;131,05;0,18;0,00;0,00;
0,00;0,00;134,25;0,13;0,00;0,00;
0,00;0,00;137,45;0,16;0,00;0,00;
0,00;0,00;140,65;0,18;0,00;0,00;
0,00;0,00;143,54;0,06;0,00;0,00;
0,00;0,00;145,94;0,04;0,00;0,00;
0,00;0,00;147,88;0,06;0,00;0,00;
0,00;0,00;149,30;0,04;0,00;0,00;
0,00;0,00;150,21;0,02;0,00;0,00;
0,00;0,00;150,61;0,02;0,00;0,00;
0,00;0,00;150,69;0,09;0,00;0,00;
0,00;0,00;150,71;0,09;0,00;0,00;
0,00;0,00;150,80;0,09;0,00;0,00;
0,00;0,00;150,95;0,16;0,00;0,00;
0,00;0,00;151,10;0,11;0,00;0,00;
0,00;0,00;151,27;0,09;0,00;0,00;
0,00;0,00;151,43;0,09;0,00;0,00;
0,00;0,00;151,59;0,09;0,00;0,00;
0,00;0,00;151,75;0,09;0,00;0,00;
