Nr;Date;ProgNr;ProgName;State;PartInfo;
10387;14.10.20 09:19:30;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20201013154621P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,30;-0,01;0,00;0,00;
0,00;0,00;30,36;0,07;0,00;0,00;
0,00;0,00;30,89;0,04;0,00;0,00;
0,00;0,00;31,93;0,04;0,00;0,00;
0,00;0,00;33,48;0,06;0,00;0,00;
0,00;0,00;35,54;0,05;0,00;0,00;
0,00;0,00;38,12;0,06;0,00;0,00;
0,00;0,00;41,20;0,05;0,00;0,00;
0,00;0,00;44,68;0,03;0,00;0,00;
0,00;0,00;48,19;0,04;0,00;0,00;
0,00;0,00;51,71;0,04;0,00;0,00;
0,00;0,00;55,23;0,03;0,00;0,00;
0,00;0,00;58,75;0,01;0,00;0,00;
0,00;0,00;62,27;0,04;0,00;0,00;
0,00;0,00;65,78;0,04;0,00;0,00;
0,00;0,00;69,31;0,04;0,00;0,00;
0,00;0,00;72,83;0,02;0,00;0,00;
0,00;0,00;76,35;0,04;0,00;0,00;
0,00;0,00;79,83;0,01;0,00;0,00;
0,00;0,00;82,87;0,03;0,00;0,00;
0,00;0,00;87,51;0,01;0,00;0,00;
0,00;0,00;90,70;-0,01;0,00;0,00;
0,00;0,00;90,81;-0,01;0,00;0,00;
0,00;0,00;90,82;0,01;0,00;0,00;
0,00;0,00;90,93;0,01;0,00;0,00;
0,00;0,00;91,04;0,02;0,00;0,00;
0,00;0,00;91,15;0,02;0,00;0,00;
0,00;0,00;91,26;0,02;0,00;0,00;
0,00;0,00;91,38;0,02;0,00;0,00;
0,00;0,00;91,49;0,01;0,00;0,00;
0,00;0,00;91,60;0,01;0,00;0,00;
0,00;0,00;91,71;0,02;0,00;0,00;
0,00;0,00;91,83;0,02;0,00;0,00;
0,00;0,00;91,94;0,02;0,00;0,00;
0,00;0,00;92,05;0,02;0,00;0,00;
0,00;0,00;92,16;0,02;0,00;0,00;
0,00;0,00;92,27;0,02;0,00;0,00;
0,00;0,00;92,39;0,02;0,00;0,00;
0,00;0,00;92,50;0,02;0,00;0,00;
0,00;0,00;92,61;0,02;0,00;0,00;
0,00;0,00;92,72;0,02;0,00;0,00;
0,00;0,00;92,83;0,02;0,00;0,00;
0,00;0,00;92,95;0,02;0,00;0,00;
0,00;0,00;93,06;0,02;0,00;0,00;
0,00;0,00;93,17;0,02;0,00;0,00;
0,00;0,00;93,28;0,02;0,00;0,00;
0,00;0,00;93,39;0,02;0,00;0,00;
0,00;0,00;93,51;0,02;0,00;0,00;
0,00;0,00;93,62;0,02;0,00;0,00;
0,00;0,00;93,73;0,02;0,00;0,00;
0,00;0,00;93,84;0,02;0,00;0,00;
0,00;0,00;93,95;0,02;0,00;0,00;
0,00;0,00;94,06;0,02;0,00;0,00;
0,00;0,00;94,18;0,02;0,00;0,00;
0,00;0,00;94,29;0,02;0,00;0,00;
0,00;0,00;94,40;0,02;0,00;0,00;
0,00;0,00;94,51;0,02;0,00;0,00;
0,00;0,00;94,62;0,01;0,00;0,00;
0,00;0,00;94,74;0,02;0,00;0,00;
0,00;0,00;94,85;0,02;0,00;0,00;
0,00;0,00;94,96;0,02;0,00;0,00;
0,00;0,00;95,07;0,02;0,00;0,00;
0,00;0,00;95,19;0,02;0,00;0,00;
0,00;0,00;95,30;0,02;0,00;0,00;
0,00;0,00;95,41;0,02;0,00;0,00;
0,00;0,00;95,52;0,01;0,00;0,00;
0,00;0,00;95,63;0,01;0,00;0,00;
0,00;0,00;95,74;0,02;0,00;0,00;
0,00;0,00;95,86;0,02;0,00;0,00;
0,00;0,00;95,97;0,02;0,00;0,00;
0,00;0,00;96,08;0,02;0,00;0,00;
0,00;0,00;96,19;0,02;0,00;0,00;
0,00;0,00;96,31;0,02;0,00;0,00;
0,00;0,00;96,42;0,02;0,00;0,00;
0,00;0,00;96,53;0,02;0,00;0,00;
0,00;0,00;96,64;0,05;0,00;0,00;
0,00;0,00;96,75;0,17;0,00;0,00;
0,00;0,00;96,86;0,23;0,00;0,00;
0,00;0,00;96,98;0,26;0,00;0,00;
0,00;0,00;97,09;0,28;0,00;0,00;
0,00;0,00;97,20;0,30;0,00;0,00;
0,00;0,00;97,31;0,33;0,00;0,00;
0,00;0,00;97,42;0,35;0,00;0,00;
0,00;0,00;97,54;0,36;0,00;0,00;
0,00;0,00;97,65;0,39;0,00;0,00;
0,00;0,00;97,76;0,42;0,00;0,00;
0,00;0,00;97,81;0,42;0,00;0,00;
0,00;0,00;97,81;0,40;0,00;0,00;
0,00;0,00;97,56;-0,02;0,00;0,00;
0,00;0,00;96,76;-0,03;0,00;0,00;
0,00;0,00;95,49;-0,01;0,00;0,00;
0,00;0,00;94,50;0,01;0,00;0,00;
0,00;0,00;93,92;0,01;0,00;0,00;
0,00;0,00;93,79;-0,01;0,00;0,00;
0,00;0,00;93,79;-0,01;0,00;0,00;
0,00;0,00;93,83;0,02;0,00;0,00;
0,00;0,00;93,94;0,01;0,00;0,00;
0,00;0,00;94,06;0,02;0,00;0,00;
0,00;0,00;94,18;0,02;0,00;0,00;
0,00;0,00;94,29;0,01;0,00;0,00;
0,00;0,00;94,40;0,02;0,00;0,00;
0,00;0,00;94,51;0,02;0,00;0,00;
0,00;0,00;94,63;0,02;0,00;0,00;
0,00;0,00;94,74;0,02;0,00;0,00;
0,00;0,00;94,85;0,01;0,00;0,00;
0,00;0,00;94,96;0,02;0,00;0,00;
