20844;08.06.21 11:02:11;21;Avvicinamento Pressata Finale;Alcun errore (0);20210608091058A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,12;0,12;0,00;0,00;
0,00;0,00;24,20;0,04;0,00;0,00;
0,00;0,00;28,82;0,12;0,00;0,00;
0,00;0,00;33,62;0,12;0,00;0,00;
0,00;0,00;38,42;0,08;0,00;0,00;
0,00;0,00;43,22;0,08;0,00;0,00;
0,00;0,00;48,02;0,08;0,00;0,00;
0,00;0,00;52,82;0,08;0,00;0,00;
0,00;0,00;57,62;0,08;0,00;0,00;
0,00;0,00;62,42;0,08;0,00;0,00;
0,00;0,00;67,22;0,08;0,00;0,00;
0,00;0,00;72,02;0,08;0,00;0,00;
0,00;0,00;76,82;0,12;0,00;0,00;
0,00;0,00;81,62;0,08;0,00;0,00;
0,00;0,00;86,42;0,08;0,00;0,00;
0,00;0,00;91,22;0,04;0,00;0,00;
0,00;0,00;96,02;0,04;0,00;0,00;
0,00;0,00;100,82;0,08;0,00;0,00;
0,00;0,00;105,62;0,04;0,00;0,00;
0,00;0,00;110,42;0,12;0,00;0,00;
0,00;0,00;115,22;0,12;0,00;0,00;
0,00;0,00;120,02;0,08;0,00;0,00;
0,00;0,00;124,82;0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;139,22;0,04;0,00;0,00;
0,00;0,00;144,02;0,12;0,00;0,00;
0,00;0,00;153,62;0,12;0,00;0,00;
0,00;0,00;158,42;0,08;0,00;0,00;
0,00;0,00;163,22;0,12;0,00;0,00;
0,00;0,00;172,82;0,08;0,00;0,00;
0,00;0,00;177,62;0,04;0,00;0,00;
0,00;0,00;182,42;0,04;0,00;0,00;
0,00;0,00;187,22;0,08;0,00;0,00;
0,00;0,00;192,02;0,08;0,00;0,00;
0,00;0,00;196,82;0,12;0,00;0,00;
0,00;0,00;201,62;0,08;0,00;0,00;
0,00;0,00;206,42;0,08;0,00;0,00;
0,00;0,00;211,22;0,12;0,00;0,00;
0,00;0,00;216,02;0,12;0,00;0,00;
0,00;0,00;220,82;0,12;0,00;0,00;
0,00;0,00;230,42;0,12;0,00;0,00;
0,00;0,00;235,22;0,12;0,00;0,00;
0,00;0,00;240,02;0,12;0,00;0,00;
0,00;0,00;244,82;0,04;0,00;0,00;
0,00;0,00;249,62;0,08;0,00;0,00;
0,00;0,00;254,17;0,04;0,00;0,00;
0,00;0,00;257,00;0,04;0,00;0,00;
0,00;0,00;257,84;0,04;0,00;0,00;
0,00;0,00;257,90;0,04;0,00;0,00;
0,00;0,00;258,08;0,08;0,00;0,00;
0,00;0,00;258,33;0,12;0,00;0,00;
0,00;0,00;258,59;0,17;0,00;0,00;
0,00;0,00;258,85;0,12;0,00;0,00;
0,00;0,00;259,10;0,17;0,00;0,00;
0,00;0,00;259,36;0,17;0,00;0,00;
0,00;0,00;259,61;0,17;0,00;0,00;
0,00;0,00;259,87;0,17;0,00;0,00;
0,00;0,00;260,13;0,17;0,00;0,00;
0,00;0,00;260,38;0,17;0,00;0,00;
0,00;0,00;260,64;0,17;0,00;0,00;
0,00;0,00;260,89;0,17;0,00;0,00;
0,00;0,00;261,15;0,17;0,00;0,00;
0,00;0,00;261,41;0,17;0,00;0,00;
0,00;0,00;261,66;0,12;0,00;0,00;
0,00;0,00;261,92;0,17;0,00;0,00;
0,00;0,00;262,17;0,17;0,00;0,00;
0,00;0,00;262,43;0,17;0,00;0,00;
0,00;0,00;262,69;0,17;0,00;0,00;
0,00;0,00;262,94;0,17;0,00;0,00;
0,00;0,00;263,20;0,12;0,00;0,00;
0,00;0,00;263,45;0,17;0,00;0,00;
0,00;0,00;263,71;0,17;0,00;0,00;
0,00;0,00;263,97;0,17;0,00;0,00;
0,00;0,00;264,22;0,17;0,00;0,00;
0,00;0,00;264,48;0,17;0,00;0,00;
0,00;0,00;264,73;0,17;0,00;0,00;
0,00;0,00;264,99;0,17;0,00;0,00;
0,00;0,00;265,25;0,17;0,00;0,00;
0,00;0,00;265,50;0,17;0,00;0,00;
0,00;0,00;265,76;0,17;0,00;0,00;
0,00;0,00;266,01;0,17;0,00;0,00;
0,00;0,00;266,27;0,17;0,00;0,00;
0,00;0,00;266,53;0,17;0,00;0,00;
0,00;0,00;266,78;0,17;0,00;0,00;
0,00;0,00;267,04;0,17;0,00;0,00;
0,00;0,00;267,29;0,17;0,00;0,00;
0,00;0,00;267,55;0,17;0,00;0,00;
0,00;0,00;267,81;0,17;0,00;0,00;
0,00;0,00;268,06;0,17;0,00;0,00;
0,00;0,00;268,32;0,17;0,00;0,00;
0,00;0,00;268,58;0,17;0,00;0,00;
0,00;0,00;268,83;0,17;0,00;0,00;
0,00;0,00;269,09;0,12;0,00;0,00;
0,00;0,00;269,34;0,17;0,00;0,00;
0,00;0,00;269,60;0,17;0,00;0,00;
0,00;0,00;269,85;0,17;0,00;0,00;
0,00;0,00;270,11;0,17;0,00;0,00;
0,00;0,00;270,37;0,17;0,00;0,00;
0,00;0,00;270,62;0,17;0,00;0,00;
0,00;0,00;270,88;0,17;0,00;0,00;
0,00;0,00;271,14;0,17;0,00;0,00;
0,00;0,00;271,39;0,17;0,00;0,00;
0,00;0,00;271,65;0,17;0,00;0,00;
0,00;0,00;271,90;0,17;0,00;0,00;
0,00;0,00;272,16;0,17;0,00;0,00;
0,00;0,00;272,42;0,17;0,00;0,00;
0,00;0,00;272,67;0,17;0,00;0,00;
0,00;0,00;272,93;0,17;0,00;0,00;
0,00;0,00;273,18;0,17;0,00;0,00;
0,00;0,00;273,44;0,17;0,00;0,00;
0,00;0,00;273,69;0,17;0,00;0,00;
0,00;0,00;273,95;0,17;0,00;0,00;
0,00;0,00;274,21;0,17;0,00;0,00;
0,00;0,00;274,46;0,17;0,00;0,00;
0,00;0,00;274,72;0,17;0,00;0,00;
0,00;0,00;274,97;0,17;0,00;0,00;
0,00;0,00;275,23;0,17;0,00;0,00;
0,00;0,00;275,49;0,21;0,00;0,00;
0,00;0,00;275,74;0,35;0,00;0,00;
0,00;0,00;276,00;0,35;0,00;0,00;
0,00;0,00;276,25;0,52;0,00;0,00;
0,00;0,00;276,51;0,52;0,00;0,00;
0,00;0,00;276,77;0,52;0,00;0,00;
0,00;0,00;277,02;0,52;0,00;0,00;
0,00;0,00;277,28;0,52;0,00;0,00;
0,00;0,00;277,53;0,52;0,00;0,00;
0,00;0,00;277,79;0,52;0,00;0,00;
0,00;0,00;278,05;0,52;0,00;0,00;
0,00;0,00;278,30;0,56;0,00;0,00;
0,00;0,00;278,55;2,91;0,00;0,00;
0,00;0,00;278,81;2,56;0,00;0,00;
0,00;0,00;278,90;2,26;0,00;0,00;
0,00;0,00;278,60;-0,09;0,00;0,00;
0,00;0,00;276,50;-0,05;0,00;0,00;
0,00;0,00;272,40;-0,01;0,00;0,00;
0,00;0,00;267,69;-0,05;0,00;0,00;
0,00;0,00;262,88;0,04;0,00;0,00;
0,00;0,00;258,08;-0,04;0,00;0,00;
