44935;14.04.21 10:18:47;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210412164008P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,90;0,02;0,00;0,00;
0,00;0,00;1,96;0,23;0,00;0,00;
0,00;0,00;2,52;0,16;0,00;0,00;
0,00;0,00;3,54;0,18;0,00;0,00;
0,00;0,00;5,06;0,23;0,00;0,00;
0,00;0,00;7,11;0,16;0,00;0,00;
0,00;0,00;9,67;0,18;0,00;0,00;
0,00;0,00;12,73;0,18;0,00;0,00;
0,00;0,00;15,85;0,16;0,00;0,00;
0,00;0,00;19,03;0,13;0,00;0,00;
0,00;0,00;22,25;0,14;0,00;0,00;
0,00;0,00;25,45;0,12;0,00;0,00;
0,00;0,00;28,65;0,14;0,00;0,00;
0,00;0,00;31,85;0,12;0,00;0,00;
0,00;0,00;35,05;0,12;0,00;0,00;
0,00;0,00;38,25;0,12;0,00;0,00;
0,00;0,00;41,45;0,12;0,00;0,00;
0,00;0,00;44,65;0,14;0,00;0,00;
0,00;0,00;47,85;0,09;0,00;0,00;
0,00;0,00;51,05;0,12;0,00;0,00;
0,00;0,00;54,25;0,16;0,00;0,00;
0,00;0,00;57,45;0,09;0,00;0,00;
0,00;0,00;60,65;0,16;0,00;0,00;
0,00;0,00;63,85;0,12;0,00;0,00;
0,00;0,00;67,05;0,16;0,00;0,00;
0,00;0,00;70,25;0,13;0,00;0,00;
0,00;0,00;73,45;0,09;0,00;0,00;
0,00;0,00;76,65;0,16;0,00;0,00;
0,00;0,00;79,85;0,12;0,00;0,00;
0,00;0,00;83,05;0,12;0,00;0,00;
0,00;0,00;86,25;0,12;0,00;0,00;
0,00;0,00;89,45;0,12;0,00;0,00;
0,00;0,00;92,65;0,16;0,00;0,00;
0,00;0,00;95,85;0,09;0,00;0,00;
0,00;0,00;99,05;0,12;0,00;0,00;
0,00;0,00;102,25;0,07;0,00;0,00;
0,00;0,00;105,45;0,11;0,00;0,00;
0,00;0,00;108,65;0,09;0,00;0,00;
0,00;0,00;111,85;0,12;0,00;0,00;
0,00;0,00;115,05;0,09;0,00;0,00;
0,00;0,00;118,25;0,12;0,00;0,00;
0,00;0,00;121,45;0,09;0,00;0,00;
0,00;0,00;124,65;0,13;0,00;0,00;
0,00;0,00;127,85;0,12;0,00;0,00;
0,00;0,00;131,05;0,12;0,00;0,00;
0,00;0,00;134,25;0,09;0,00;0,00;
0,00;0,00;137,45;0,09;0,00;0,00;
0,00;0,00;140,65;0,12;0,00;0,00;
0,00;0,00;143,54;0,02;0,00;0,00;
0,00;0,00;147,88;-0,02;0,00;0,00;
0,00;0,00;150,21;-0,02;0,00;0,00;
0,00;0,00;150,61;-0,02;0,00;0,00;
0,00;0,00;150,71;0,02;0,00;0,00;
0,00;0,00;150,81;0,02;0,00;0,00;
0,00;0,00;150,95;0,07;0,00;0,00;
0,00;0,00;151,11;0,07;0,00;0,00;
0,00;0,00;151,27;0,02;0,00;0,00;
0,00;0,00;151,43;0,02;0,00;0,00;
0,00;0,00;151,59;0,07;0,00;0,00;
0,00;0,00;151,75;0,05;0,00;0,00;
0,00;0,00;151,91;0,07;0,00;0,00;
0,00;0,00;152,07;0,07;0,00;0,00;
0,00;0,00;152,23;0,07;0,00;0,00;
0,00;0,00;152,39;0,05;0,00;0,00;
0,00;0,00;152,55;0,05;0,00;0,00;
0,00;0,00;152,71;0,07;0,00;0,00;
0,00;0,00;152,87;0,05;0,00;0,00;
0,00;0,00;153,03;0,05;0,00;0,00;
0,00;0,00;153,19;0,05;0,00;0,00;
0,00;0,00;153,35;0,07;0,00;0,00;
0,00;0,00;153,51;0,07;0,00;0,00;
0,00;0,00;153,67;0,07;0,00;0,00;
0,00;0,00;153,83;0,07;0,00;0,00;
0,00;0,00;153,99;0,25;0,00;0,00;
0,00;0,00;154,15;0,25;0,00;0,00;
0,00;0,00;154,31;0,63;0,00;0,00;
0,00;0,00;154,46;1,32;0,00;0,00;
0,00;0,00;154,62;1,47;0,00;0,00;
0,00;0,00;154,78;1,68;0,00;0,00;
0,00;0,00;154,94;1,86;0,00;0,00;
0,00;0,00;155,10;1,97;0,00;0,00;
0,00;0,00;155,26;2,15;0,00;0,00;
0,00;0,00;155,42;2,15;0,00;0,00;
0,00;0,00;155,59;2,22;0,00;0,00;
0,00;0,00;155,75;2,24;0,00;0,00;
0,00;0,00;155,91;2,22;0,00;0,00;
0,00;0,00;156,07;2,31;0,00;0,00;
0,00;0,00;156,23;2,35;0,00;0,00;
0,00;0,00;156,39;2,49;0,00;0,00;
0,00;0,00;156,55;2,60;0,00;0,00;
0,00;0,00;156,70;2,56;0,00;0,00;
0,00;0,00;156,71;2,40;0,00;0,00;
0,00;0,00;156,70;2,15;0,00;0,00;
0,00;0,00;156,29;-0,07;0,00;0,00;
0,00;0,00;155,39;-0,02;0,00;0,00;
0,00;0,00;154,43;0,12;0,00;0,00;
0,00;0,00;153,93;0,05;0,00;0,00;
0,00;0,00;153,76;-0,02;0,00;0,00;
0,00;0,00;153,70;-0,04;0,00;0,00;
0,00;0,00;153,70;-0,02;0,00;0,00;
0,00;0,00;153,75;0,07;0,00;0,00;
0,00;0,00;153,90;0,07;0,00;0,00;
0,00;0,00;154,05;0,07;0,00;0,00;
0,00;0,00;154,22;0,05;0,00;0,00;
0,00;0,00;154,38;0,05;0,00;0,00;
0,00;0,00;154,54;0,07;0,00;0,00;
0,00;0,00;154,71;0,07;0,00;0,00;
0,00;0,00;154,87;0,07;0,00;0,00;
0,00;0,00;155,03;0,05;0,00;0,00;
0,00;0,00;155,19;0,07;0,00;0,00;
0,00;0,00;155,35;0,07;0,00;0,00;
0,00;0,00;155,51;0,07;0,00;0,00;
0,00;0,00;155,67;0,07;0,00;0,00;
0,00;0,00;155,83;0,07;0,00;0,00;
0,00;0,00;155,99;0,07;0,00;0,00;
0,00;0,00;156,15;0,07;0,00;0,00;
0,00;0,00;156,31;0,11;0,00;0,00;
0,00;0,00;156,47;0,25;0,00;0,00;
0,00;0,00;156,63;0,50;0,00;0,00;
0,00;0,00;156,77;2,83;0,00;0,00;
0,00;0,00;156,93;2,88;0,00;0,00;
0,00;0,00;157,09;2,96;0,00;0,00;
0,00;0,00;157,26;3,12;0,00;0,00;
0,00;0,00;157,42;3,15;0,00;0,00;
0,00;0,00;157,58;3,33;0,00;0,00;
0,00;0,00;157,74;3,42;0,00;0,00;
0,00;0,00;157,90;3,55;0,00;0,00;
0,00;0,00;158,06;3,64;0,00;0,00;
0,00;0,00;158,22;3,76;0,00;0,00;
0,00;0,00;158,39;3,78;0,00;0,00;
0,00;0,00;158,55;3,96;0,00;0,00;
0,00;0,00;158,71;4,09;0,00;0,00;
0,00;0,00;158,87;4,19;0,00;0,00;
0,00;0,00;159,03;4,27;0,00;0,00;
0,00;0,00;159,19;4,39;0,00;0,00;
0,00;0,00;159,35;4,50;0,00;0,00;
0,00;0,00;159,51;4,62;0,00;0,00;
0,00;0,00;159,67;4,73;0,00;0,00;
0,00;0,00;159,83;4,86;0,00;0,00;
