Nr;Date;ProgNr;ProgName;State;PartInfo;
12950;16.11.20 10:54:38;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20201116101657A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,37;0,00;0,00;
0,00;0,00;0,51;0,30;0,00;0,00;
0,00;0,00;1,28;0,53;0,00;0,00;
0,00;0,00;2,43;0,53;0,00;0,00;
0,00;0,00;3,98;0,44;0,00;0,00;
0,00;0,00;5,90;0,45;0,00;0,00;
0,00;0,00;8,20;0,37;0,00;0,00;
0,00;0,00;10,53;0,37;0,00;0,00;
0,00;0,00;12,93;0,45;0,00;0,00;
0,00;0,00;15,34;0,37;0,00;0,00;
0,00;0,00;17,74;0,30;0,00;0,00;
0,00;0,00;20,15;0,30;0,00;0,00;
0,00;0,00;22,54;0,37;0,00;0,00;
0,00;0,00;24,95;0,37;0,00;0,00;
0,00;0,00;27,35;0,37;0,00;0,00;
0,00;0,00;29,75;0,30;0,00;0,00;
0,00;0,00;32,15;0,30;0,00;0,00;
0,00;0,00;34,54;0,30;0,00;0,00;
0,00;0,00;36,95;0,37;0,00;0,00;
0,00;0,00;39,35;0,45;0,00;0,00;
0,00;0,00;41,75;0,22;0,00;0,00;
0,00;0,00;44,15;0,22;0,00;0,00;
0,00;0,00;46,54;0,30;0,00;0,00;
0,00;0,00;48,95;0,37;0,00;0,00;
0,00;0,00;51,35;0,37;0,00;0,00;
0,00;0,00;53,75;0,22;0,00;0,00;
0,00;0,00;56,15;0,22;0,00;0,00;
0,00;0,00;58,54;0,30;0,00;0,00;
0,00;0,00;60,95;0,30;0,00;0,00;
0,00;0,00;63,35;0,37;0,00;0,00;
0,00;0,00;65,75;0,30;0,00;0,00;
0,00;0,00;68,15;0,30;0,00;0,00;
0,00;0,00;70,54;0,37;0,00;0,00;
0,00;0,00;72,95;0,37;0,00;0,00;
0,00;0,00;75,35;0,45;0,00;0,00;
0,00;0,00;77,75;0,30;0,00;0,00;
0,00;0,00;80,15;0,30;0,00;0,00;
0,00;0,00;82,54;0,30;0,00;0,00;
0,00;0,00;84,95;0,30;0,00;0,00;
0,00;0,00;87,35;0,30;0,00;0,00;
0,00;0,00;89,75;0,30;0,00;0,00;
0,00;0,00;92,15;0,14;0,00;0,00;
0,00;0,00;94,54;0,30;0,00;0,00;
0,00;0,00;96,95;0,30;0,00;0,00;
0,00;0,00;99,35;0,37;0,00;0,00;
0,00;0,00;101,75;0,37;0,00;0,00;
0,00;0,00;104,15;0,30;0,00;0,00;
0,00;0,00;106,54;0,14;0,00;0,00;
0,00;0,00;108,95;0,30;0,00;0,00;
0,00;0,00;111,35;0,30;0,00;0,00;
0,00;0,00;113,74;0,22;0,00;0,00;
0,00;0,00;116,15;0,30;0,00;0,00;
0,00;0,00;118,54;0,30;0,00;0,00;
0,00;0,00;120,95;0,30;0,00;0,00;
0,00;0,00;123,35;0,30;0,00;0,00;
0,00;0,00;125,75;0,22;0,00;0,00;
0,00;0,00;128,15;0,22;0,00;0,00;
0,00;0,00;130,54;0,30;0,00;0,00;
0,00;0,00;132,95;0,22;0,00;0,00;
0,00;0,00;135,35;0,37;0,00;0,00;
0,00;0,00;137,74;0,22;0,00;0,00;
0,00;0,00;140,15;0,22;0,00;0,00;
0,00;0,00;142,54;0,22;0,00;0,00;
0,00;0,00;144,95;0,30;0,00;0,00;
0,00;0,00;147,35;0,30;0,00;0,00;
0,00;0,00;149,75;0,30;0,00;0,00;
0,00;0,00;152,15;0,30;0,00;0,00;
0,00;0,00;154,54;0,22;0,00;0,00;
0,00;0,00;156,95;0,37;0,00;0,00;
0,00;0,00;159,35;0,30;0,00;0,00;
0,00;0,00;161,74;0,22;0,00;0,00;
0,00;0,00;164,15;0,22;0,00;0,00;
0,00;0,00;166,55;0,30;0,00;0,00;
0,00;0,00;168,95;0,30;0,00;0,00;
0,00;0,00;171,20;0,30;0,00;0,00;
0,00;0,00;173,08;0,22;0,00;0,00;
0,00;0,00;174,64;0,14;0,00;0,00;
0,00;0,00;175,82;0,06;0,00;0,00;
0,00;0,00;176,61;0,14;0,00;0,00;
0,00;0,00;177,03;0,22;0,00;0,00;
0,00;0,00;177,12;0,30;0,00;0,00;
0,00;0,00;177,17;0,30;0,00;0,00;
0,00;0,00;177,22;0,22;0,00;0,00;
0,00;0,00;177,37;0,30;0,00;0,00;
0,00;0,00;177,51;0,30;0,00;0,00;
0,00;0,00;177,68;0,30;0,00;0,00;
0,00;0,00;177,84;0,22;0,00;0,00;
0,00;0,00;178,00;0,30;0,00;0,00;
0,00;0,00;178,16;0,30;0,00;0,00;
0,00;0,00;178,32;0,30;0,00;0,00;
0,00;0,00;178,48;0,30;0,00;0,00;
0,00;0,00;178,64;0,30;0,00;0,00;
0,00;0,00;178,80;0,30;0,00;0,00;
0,00;0,00;178,96;0,30;0,00;0,00;
0,00;0,00;179,12;0,30;0,00;0,00;
0,00;0,00;179,28;0,30;0,00;0,00;
0,00;0,00;179,44;0,30;0,00;0,00;
0,00;0,00;179,60;0,30;0,00;0,00;
0,00;0,00;179,76;0,30;0,00;0,00;
0,00;0,00;179,92;0,30;0,00;0,00;
0,00;0,00;180,08;0,30;0,00;0,00;
0,00;0,00;180,24;0,30;0,00;0,00;
0,00;0,00;180,40;0,30;0,00;0,00;
0,00;0,00;180,56;0,30;0,00;0,00;
0,00;0,00;180,72;0,30;0,00;0,00;
0,00;0,00;180,88;0,30;0,00;0,00;
0,00;0,00;181,04;0,30;0,00;0,00;
0,00;0,00;181,20;0,30;0,00;0,00;
0,00;0,00;181,36;0,30;0,00;0,00;
0,00;0,00;181,52;0,30;0,00;0,00;
0,00;0,00;181,68;0,30;0,00;0,00;
0,00;0,00;181,84;0,30;0,00;0,00;
0,00;0,00;182,00;0,30;0,00;0,00;
0,00;0,00;182,16;0,30;0,00;0,00;
0,00;0,00;182,32;0,30;0,00;0,00;
0,00;0,00;182,48;0,30;0,00;0,00;
0,00;0,00;182,64;0,30;0,00;0,00;
0,00;0,00;182,80;0,30;0,00;0,00;
0,00;0,00;182,96;0,30;0,00;0,00;
0,00;0,00;183,12;0,30;0,00;0,00;
0,00;0,00;183,28;0,30;0,00;0,00;
0,00;0,00;183,44;0,30;0,00;0,00;
0,00;0,00;183,60;0,30;0,00;0,00;
0,00;0,00;183,76;0,30;0,00;0,00;
0,00;0,00;183,92;0,30;0,00;0,00;
0,00;0,00;184,08;0,30;0,00;0,00;
0,00;0,00;184,15;0,30;0,00;0,00;
0,00;0,00;184,15;0,30;0,00;0,00;
0,00;0,00;184,01;-0,08;0,00;0,00;
0,00;0,00;183,48;-0,08;0,00;0,00;
0,00;0,00;182,62;-0,31;0,00;0,00;
0,00;0,00;181,20;0,30;0,00;0,00;
0,00;0,00;181,37;0,30;0,00;0,00;
0,00;0,00;181,51;0,30;0,00;0,00;
0,00;0,00;181,67;0,30;0,00;0,00;
0,00;0,00;181,84;0,30;0,00;0,00;
