13973;22.10.20 14:54:05;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20201021084441P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;41,96;0,18;0,00;0,00;
0,00;0,00;42,51;0,11;0,00;0,00;
0,00;0,00;43,53;0,13;0,00;0,00;
0,00;0,00;45,06;0,16;0,00;0,00;
0,00;0,00;47,11;0,13;0,00;0,00;
0,00;0,00;49,67;0,16;0,00;0,00;
0,00;0,00;52,72;0,16;0,00;0,00;
0,00;0,00;55,85;0,13;0,00;0,00;
0,00;0,00;59,03;0,11;0,00;0,00;
0,00;0,00;62,24;0,09;0,00;0,00;
0,00;0,00;65,44;0,06;0,00;0,00;
0,00;0,00;68,65;0,09;0,00;0,00;
0,00;0,00;71,85;0,11;0,00;0,00;
0,00;0,00;75,05;0,04;0,00;0,00;
0,00;0,00;78,25;0,06;0,00;0,00;
0,00;0,00;81,45;0,06;0,00;0,00;
0,00;0,00;84,65;0,11;0,00;0,00;
0,00;0,00;87,85;0,04;0,00;0,00;
0,00;0,00;91,05;0,06;0,00;0,00;
0,00;0,00;94,25;0,11;0,00;0,00;
0,00;0,00;97,45;0,04;0,00;0,00;
0,00;0,00;100,65;0,11;0,00;0,00;
0,00;0,00;103,85;0,06;0,00;0,00;
0,00;0,00;107,05;0,06;0,00;0,00;
0,00;0,00;110,25;0,06;0,00;0,00;
0,00;0,00;113,45;0,09;0,00;0,00;
0,00;0,00;116,65;0,06;0,00;0,00;
0,00;0,00;119,85;0,06;0,00;0,00;
0,00;0,00;123,05;0,09;0,00;0,00;
0,00;0,00;126,25;0,09;0,00;0,00;
0,00;0,00;129,45;0,06;0,00;0,00;
0,00;0,00;132,65;0,11;0,00;0,00;
0,00;0,00;135,85;0,02;0,00;0,00;
0,00;0,00;139,05;0,06;0,00;0,00;
0,00;0,00;142,18;-0,07;0,00;0,00;
0,00;0,00;144,80;0,02;0,00;0,00;
0,00;0,00;146,98;0,02;0,00;0,00;
0,00;0,00;149,83;-0,02;0,00;0,00;
0,00;0,00;150,48;-0,05;0,00;0,00;
0,00;0,00;150,66;0,02;0,00;0,00;
0,00;0,00;150,72;0,04;0,00;0,00;
0,00;0,00;151,51;0,04;0,00;0,00;
0,00;0,00;151,83;0,02;0,00;0,00;
0,00;0,00;151,99;0,02;0,00;0,00;
0,00;0,00;152,31;0,02;0,00;0,00;
0,00;0,00;152,47;0,02;0,00;0,00;
0,00;0,00;152,63;0,02;0,00;0,00;
0,00;0,00;152,79;0,02;0,00;0,00;
0,00;0,00;153,11;0,04;0,00;0,00;
0,00;0,00;153,27;0,04;0,00;0,00;
0,00;0,00;153,43;0,04;0,00;0,00;
0,00;0,00;153,59;0,04;0,00;0,00;
0,00;0,00;154,07;0,04;0,00;0,00;
0,00;0,00;154,23;0,02;0,00;0,00;
0,00;0,00;154,55;0,09;0,00;0,00;
0,00;0,00;154,71;0,20;0,00;0,00;
0,00;0,00;154,87;0,22;0,00;0,00;
0,00;0,00;155,03;0,29;0,00;0,00;
0,00;0,00;155,19;0,45;0,00;0,00;
0,00;0,00;155,35;0,65;0,00;0,00;
0,00;0,00;155,51;0,97;0,00;0,00;
0,00;0,00;155,67;1,08;0,00;0,00;
0,00;0,00;155,83;1,24;0,00;0,00;
0,00;0,00;155,99;1,36;0,00;0,00;
0,00;0,00;156,15;1,47;0,00;0,00;
0,00;0,00;156,31;1,56;0,00;0,00;
0,00;0,00;156,47;1,69;0,00;0,00;
0,00;0,00;156,63;1,81;0,00;0,00;
0,00;0,00;156,71;1,72;0,00;0,00;
0,00;0,00;156,71;1,62;0,00;0,00;
0,00;0,00;156,56;0,22;0,00;0,00;
0,00;0,00;155,90;-0,25;0,00;0,00;
0,00;0,00;154,81;-0,03;0,00;0,00;
0,00;0,00;154,14;-0,07;0,00;0,00;
0,00;0,00;153,81;-0,00;0,00;0,00;
0,00;0,00;153,72;-0,02;0,00;0,00;
0,00;0,00;153,82;-0,00;0,00;0,00;
0,00;0,00;153,97;0,02;0,00;0,00;
0,00;0,00;154,13;0,02;0,00;0,00;
0,00;0,00;154,30;0,04;0,00;0,00;
0,00;0,00;154,46;0,04;0,00;0,00;
0,00;0,00;154,63;0,02;0,00;0,00;
0,00;0,00;155,11;0,02;0,00;0,00;
0,00;0,00;155,27;0,02;0,00;0,00;
0,00;0,00;155,43;0,02;0,00;0,00;
0,00;0,00;155,59;0,02;0,00;0,00;
0,00;0,00;155,75;0,04;0,00;0,00;
0,00;0,00;155,91;0,04;0,00;0,00;
0,00;0,00;156,07;0,04;0,00;0,00;
0,00;0,00;156,23;0,04;0,00;0,00;
0,00;0,00;156,39;0,22;0,00;0,00;
0,00;0,00;156,55;0,24;0,00;0,00;
0,00;0,00;156,71;1,35;0,00;0,00;
0,00;0,00;156,85;1,97;0,00;0,00;
0,00;0,00;157,02;2,03;0,00;0,00;
0,00;0,00;157,18;2,10;0,00;0,00;
0,00;0,00;157,34;2,19;0,00;0,00;
0,00;0,00;157,50;2,28;0,00;0,00;
0,00;0,00;157,66;2,40;0,00;0,00;
0,00;0,00;157,82;2,46;0,00;0,00;
0,00;0,00;157,99;2,55;0,00;0,00;
0,00;0,00;158,15;2,67;0,00;0,00;
0,00;0,00;158,31;2,73;0,00;0,00;
0,00;0,00;158,47;2,80;0,00;0,00;
0,00;0,00;158,63;2,89;0,00;0,00;
0,00;0,00;158,79;3,00;0,00;0,00;
0,00;0,00;158,95;3,10;0,00;0,00;
0,00;0,00;159,11;3,18;0,00;0,00;
0,00;0,00;159,27;3,25;0,00;0,00;
0,00;0,00;159,43;3,36;0,00;0,00;
0,00;0,00;159,59;3,48;0,00;0,00;
0,00;0,00;159,75;3,54;0,00;0,00;
0,00;0,00;159,91;3,64;0,00;0,00;
0,00;0,00;160,07;3,78;0,00;0,00;
0,00;0,00;160,23;3,86;0,00;0,00;
0,00;0,00;160,39;3,98;0,00;0,00;
0,00;0,00;160,55;4,04;0,00;0,00;
0,00;0,00;160,71;4,16;0,00;0,00;
0,00;0,00;160,87;4,25;0,00;0,00;
0,00;0,00;161,03;4,34;0,00;0,00;
0,00;0,00;161,19;4,43;0,00;0,00;
0,00;0,00;161,35;4,54;0,00;0,00;
